Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Savage Love (Laxed - Siren Beat);Jawsh 685;4876318;2020-08-01;;2020;8;1;1;nz pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;ROCKSTAR (feat. Roddy Ricch);DaBaby;4781251;2020-08-01;;2020;8;1;2;north carolina hip hop;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;Blinding Lights;The Weeknd;4346043;2020-08-01;;2020;8;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
4;Watermelon Sugar;Harry Styles;4135661;2020-08-01;;2020;8;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;my future;Billie Eilish;3712032;2020-08-01;;2020;8;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Roses - Imanbek Remix;SAINt JHN;3459798;2020-08-01;;2020;8;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
7;cardigan;Taylor Swift;3124127;2020-08-01;;2020;8;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Breaking Me;Topic;2976429;2020-08-01;;2020;8;1;6;german dance;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Come & Go (with Marshmello);Juice WRLD;2722932;2020-08-01;;2020;8;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;2696429;2020-08-01;;2020;8;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
11;exile (feat. Bon Iver);Taylor Swift;2693003;2020-08-01;;2020;8;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;La Jeepeta - Remix;Nio Garcia;2561400;2020-08-01;;2020;8;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
13;Dance Monkey;Tones And I;2549400;2020-08-01;;2020;8;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Wishing Well;Juice WRLD;2425680;2020-08-01;;2020;8;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;death bed (coffee for your head);Powfu;2372518;2020-08-01;;2020;8;1;1;sad rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16;Rain On Me (with Ariana Grande);Lady Gaga;2350098;2020-08-01;;2020;8;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;ily (i love you baby) (feat. Emilee);Surf Mesa;2302432;2020-08-01;;2020;8;1;1;tropical house;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Caramelo;Ozuna;2301154;2020-08-01;;2020;8;1;4;puerto rican pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
19;"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie";Tainy;2273410;2020-08-01;;2020;8;1;7;reggaeton;trap latino;latin;latin hip hop;pop reggaeton;latin pop;reggaeton flow;;;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
20;MAMACITA;Black Eyed Peas;2235324;2020-08-01;;2020;8;1;3;dance pop;pop rap;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix;Tory Lanez;2226973;2020-08-01;;2020;8;1;8;canadian trap;rap;melodic rap;toronto rap;pop rap;trap;canadian hip hop;r&b;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
22;Relación;Sech;2162363;2020-08-01;;2020;8;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
23;Tattoo - Remix with Camilo;Rauw Alejandro;2161997;2020-08-01;;2020;8;1;2;puerto rican pop;trap latino;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
