Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;WAP (feat. Megan Thee Stallion);Cardi B;6466204;2020-09-01;;2020;9;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2;Hawái;Maluma;5696927;2020-09-01;;2020;9;1;3;reggaeton colombiano;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;Mood (feat. iann dior);24kGoldn;4847213;2020-09-01;;2020;9;1;1;cali rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;Dynamite;BTS;4642593;2020-09-01;;2020;9;1;2;k-pop boy group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Blinding Lights;The Weeknd;3827733;2020-09-01;;2020;9;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
6;Savage Love (Laxed - Siren Beat);Jawsh 685;3710351;2020-09-01;;2020;9;1;1;nz pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Watermelon Sugar;Harry Styles;3699915;2020-09-01;;2020;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Ice Cream (with Selena Gomez);BLACKPINK;3563748;2020-09-01;;2020;9;1;2;k-pop girl group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Laugh Now Cry Later (feat. Lil Durk);Drake;3547315;2020-09-01;;2020;9;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
10;ROCKSTAR (feat. Roddy Ricch);DaBaby;3537690;2020-09-01;;2020;9;1;2;north carolina hip hop;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
11;Mood Swings (feat. Lil Tjay);Pop Smoke;2593785;2020-09-01;;2020;9;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12;Roses - Imanbek Remix;SAINt JHN;2528211;2020-09-01;;2020;9;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
13;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;2460218;2020-09-01;;2020;9;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14;Breaking Me;Topic;2425804;2020-09-01;;2020;9;1;6;german dance;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Ay, DiOs Mío!;KAROL G;2415107;2020-09-01;;2020;9;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
16;Heather;Conan Gray;2414918;2020-09-01;;2020;9;1;6;bedroom pop;pop;alt z;post-teen pop;indie pop;electropop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;2354241;2020-09-01;;2020;9;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
18;Head & Heart (feat. MNEK);Joel Corry;2351625;2020-09-01;;2020;9;1;5;uk dance;pop dance;tropical house;dance pop;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;Come & Go (with Marshmello);Juice WRLD;2140858;2020-09-01;;2020;9;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20;Rain On Me (with Ariana Grande);Lady Gaga;2101470;2020-09-01;;2020;9;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;La Curiosidad;Jay Wheeler;2059017;2020-09-01;;2020;9;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
22;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2012814;2020-09-01;;2020;9;1;3;trap;rap;pop rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
23;La Jeepeta - Remix;Nio Garcia;2006271;2020-09-01;;2020;9;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
24;Tattoo - Remix with Camilo;Rauw Alejandro;1988226;2020-09-01;;2020;9;1;2;puerto rican pop;trap latino;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
25;Midnight Sky;Miley Cyrus;1983724;2020-09-01;;2020;9;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;Caramelo;Ozuna;1970350;2020-09-01;;2020;9;1;4;puerto rican pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
27;Smile (with The Weeknd);Juice WRLD;1958142;2020-09-01;;2020;9;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;Dance Monkey;Tones And I;1948398;2020-09-01;;2020;9;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
29;Someone You Loved;Lewis Capaldi;1903846;2020-09-01;;2020;9;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;death bed (coffee for your head);Powfu;1885004;2020-09-01;;2020;9;1;1;sad rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
31;Wishing Well;Juice WRLD;1883562;2020-09-01;;2020;9;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;Before You Go;Lewis Capaldi;1841944;2020-09-01;;2020;9;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;you broke me first;Tate McRae;1833373;2020-09-01;;2020;9;1;5;pop;alt z;post-teen pop;electropop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
34;Relación;Sech;1830608;2020-09-01;;2020;9;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
35;WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix;Tory Lanez;1800696;2020-09-01;;2020;9;1;8;canadian trap;rap;melodic rap;toronto rap;pop rap;trap;canadian hip hop;r&b;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
36;Over Now (with The Weeknd);Calvin Harris;1791429;2020-09-01;;2020;9;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
37;"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie";Tainy;1784693;2020-09-01;;2020;9;1;7;reggaeton;trap latino;latin;latin hip hop;pop reggaeton;latin pop;reggaeton flow;;;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
38;How You Like That;BLACKPINK;1706557;2020-09-01;;2020;9;1;2;k-pop girl group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
39;Go Crazy;Chris Brown;1676004;2020-09-01;;2020;9;1;5;pop rap;dance pop;pop;r&b;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
40;The Woo (feat. 50 Cent & Roddy Ricch);Pop Smoke;1629743;2020-09-01;;2020;9;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41;Break My Heart;Dua Lipa;1601897;2020-09-01;;2020;9;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
42;Don't Start Now;Dua Lipa;1600423;2020-09-01;;2020;9;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;Blueberry Faygo;Lil Mosey;1599384;2020-09-01;;2020;9;1;5;melodic rap;rap conscient;vapor trap;trap;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;GREECE (feat. Drake);DJ Khaled;1591022;2020-09-01;;2020;9;1;6;pop rap;rap;miami hip hop;southern hip hop;trap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
45;MAMACITA;Black Eyed Peas;1545340;2020-09-01;;2020;9;1;3;dance pop;pop rap;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
46;Djadja (feat. Maluma) - Remix;Aya Nakamura;1529721;2020-09-01;;2020;9;1;2;basshall;francoton;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
47;ily (i love you baby) (feat. Emilee);Surf Mesa;1518907;2020-09-01;;2020;9;1;1;tropical house;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Stuck with U (with Justin Bieber);Ariana Grande;1508893;2020-09-01;;2020;9;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
49;Ayer Me Llamó Mi Ex (feat. Lenny Santos);KHEA;1456014;2020-09-01;;2020;9;1;4;trap triste;argentine hip hop;trap argentino;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
50;Mamichula - con Nicki Nicole;Trueno;1447365;2020-09-01;;2020;9;1;3;argentine hip hop;trap argentino;trap latino;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
51;Kings & Queens;Ava Max;1438704;2020-09-01;;2020;9;1;3;pop;dance pop;post-teen pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
52;Party Girl;StaySolidRocky;1422576;2020-09-01;;2020;9;1;1;melodic rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53;Still Don't Know My Name;Labrinth;1396382;2020-09-01;;2020;9;1;2;pop;indie poptimism;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
54;Circles;Post Malone;1345363;2020-09-01;;2020;9;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55;Take You Dancing;Jason Derulo;1336945;2020-09-01;;2020;9;1;4;dance pop;pop;post-teen pop;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
56;Toosie Slide;Drake;1335756;2020-09-01;;2020;9;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
57;Adore You;Harry Styles;1324203;2020-09-01;;2020;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
58;The Box;Roddy Ricch;1300398;2020-09-01;;2020;9;1;3;melodic rap;rap;trap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
59;goosebumps;Travis Scott;1221577;2020-09-01;;2020;9;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
60;cardigan;Taylor Swift;1209312;2020-09-01;;2020;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
61;Lucid Dreams;Juice WRLD;1209029;2020-09-01;;2020;9;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
62;Mi Cuarto;Jerry Di;1204767;2020-09-01;;2020;9;1;6;pop venezolano;trap latino;cubaton;dominican pop;reggaeton;reggaeton flow;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
63;Electric Love;BØRNS;1197597;2020-09-01;;2020;9;1;4;modern rock;modern alternative rock;pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
64;my ex's best friend (with blackbear);Machine Gun Kelly;1179561;2020-09-01;;2020;9;1;2;ohio hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
65;Falling;Trevor Daniel;1171938;2020-09-01;;2020;9;1;3;melodic rap;pop rap;alternative r&b;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
66;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;1165259;2020-09-01;;2020;9;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
67;Señorita;Shawn Mendes;1161924;2020-09-01;;2020;9;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
68;Memories;Maroon 5;1161860;2020-09-01;;2020;9;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
69;Tusa;KAROL G;1160509;2020-09-01;;2020;9;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
70;Intentions (feat. Quavo);Justin Bieber;1150598;2020-09-01;;2020;9;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
71;Robbery;Juice WRLD;1143264;2020-09-01;;2020;9;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
72;my future;Billie Eilish;1139575;2020-09-01;;2020;9;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;TKN (feat. Travis Scott);ROSALÍA;1118509;2020-09-01;;2020;9;1;1;r&b en espanol;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
74;In Your Eyes;The Weeknd;1114680;2020-09-01;;2020;9;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
75;HIGHEST IN THE ROOM;Travis Scott;1107512;2020-09-01;;2020;9;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
76;Blastoff (feat. Juice Wrld & Trippie Redd);Internet Money;1102605;2020-09-01;;2020;9;1;3;trap;rap;pop rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
77;Be Kind (with Halsey);Marshmello;1090864;2020-09-01;;2020;9;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
78;bad guy;Billie Eilish;1090282;2020-09-01;;2020;9;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
79;POPSTAR (feat. Drake);DJ Khaled;1051539;2020-09-01;;2020;9;1;6;pop rap;rap;miami hip hop;southern hip hop;trap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
80;Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto);Super Yei;1043665;2020-09-01;;2020;9;1;4;trap latino;reggaeton flow;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
81;Hasta Que Dios Diga;Anuel AA;1042623;2020-09-01;;2020;9;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
82;lovely (with Khalid);Billie Eilish;1033262;2020-09-01;;2020;9;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
83;Stunnin' (feat. Harm Franklin);Curtis Waters;1013723;2020-09-01;;2020;9;1;8;indie r&b;alternative r&b;indie hip hop;modern alternative pop;pop;bedroom pop;modern indie pop;pop rap;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
84;Dior;Pop Smoke;1012847;2020-09-01;;2020;9;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
85;Life Is Good (feat. Drake);Future;1000788;2020-09-01;;2020;9;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
86;SICKO MODE;Travis Scott;991059;2020-09-01;;2020;9;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
87;Say So;Doja Cat;990664;2020-09-01;;2020;9;1;2;pop;dance pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
88;Ride It;Regard;987072;2020-09-01;;2020;9;1;6;slap house;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
89;ROXANNE;Arizona Zervas;979547;2020-09-01;;2020;9;1;2;rhode island rap;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
90;Secrets;Regard;978454;2020-09-01;;2020;9;1;6;slap house;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
91;Favorito;Camilo;977366;2020-09-01;;2020;9;1;2;reggaeton colombiano;colombian pop;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
92;Shallow;Lady Gaga;971894;2020-09-01;;2020;9;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
93;exile (feat. Bon Iver);Taylor Swift;965876;2020-09-01;;2020;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
94;If the World Was Ending - feat. Julia Michaels;JP Saxe;962384;2020-09-01;;2020;9;1;5;indie cafe pop;pop;canadian contemporary r&b;alt z;post-teen pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
95;PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix;Feid;954425;2020-09-01;;2020;9;1;7;reggaeton colombiano;colombian pop;trap latino;reggaeton;pop reggaeton;reggaeton flow;latin;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
96;THE BADDEST;K/DA;951079;2020-09-01;;2020;9;1;1;k-pop girl group;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
97;THE SCOTTS;THE SCOTTS;949591;2020-09-01;;2020;9;1;1;pop rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
98;everything i wanted;Billie Eilish;947218;2020-09-01;;2020;9;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
99;Bande organisée;Kofs;939759;2020-09-01;;2020;9;1;4;rap marseille;pop urbaine;rap francais;french hip hop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
100;Be Like That - feat. Swae Lee & Khalid;Kane Brown;937674;2020-09-01;;2020;9;1;2;contemporary country;country road;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;Got It On Me;Pop Smoke;935784;2020-09-01;;2020;9;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
102;"The Plan - From the Motion Picture ""TENET""";Travis Scott;931320;2020-09-01;;2020;9;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
103;Azul;J Balvin;925417;2020-09-01;;2020;9;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
104;Falling;Harry Styles;921802;2020-09-01;;2020;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
105;Believer;Imagine Dragons;914204;2020-09-01;;2020;9;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
106;Sunday Best;Surfaces;913744;2020-09-01;;2020;9;1;2;bedroom soul;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
107;Supalonely;BENEE;910464;2020-09-01;;2020;9;1;3;nz pop;pop;alt z;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
