Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;MONTERO (Call Me By Your Name);Lil Nas X;7101202;2021-05-01;;2021;5;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6445643;2021-05-01;;2021;5;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Kiss Me More (feat. SZA);Doja Cat;4931520;2021-05-01;;2021;5;1;2;pop;dance pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Your Power;Billie Eilish;4642820;2021-05-01;;2021;5;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Levitating (feat. DaBaby);Dua Lipa;4323962;2021-05-01;;2021;5;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Astronaut In The Ocean;Masked Wolf;4097467;2021-05-01;;2021;5;1;1;australian hip hop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;Leave The Door Open;Bruno Mars;3836941;2021-05-01;;2021;5;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;RAPSTAR;Polo G;3834153;2021-05-01;;2021;5;1;1;chicago rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
9;Fiel;Los Legendarios;3745094;2021-05-01;;2021;5;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;3655292;2021-05-01;;2021;5;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
11;deja vu;Olivia Rodrigo;3063627;2021-05-01;;2021;5;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;3040298;2021-05-01;;2021;5;1;5;uk dance;house;pop dance;tropical house;dance pop;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Botella Tras Botella;Gera MX;2988823;2021-05-01;;2021;5;1;2;mexican hip hop;rap conciencia;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14;Pareja Del Año;Sebastian Yatra;2981340;2021-05-01;;2021;5;1;4;reggaeton colombiano;colombian pop;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
15;Blinding Lights;The Weeknd;2873111;2021-05-01;;2021;5;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
16;drivers license;Olivia Rodrigo;2872890;2021-05-01;;2021;5;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Heartbreak Anniversary;Giveon;2841434;2021-05-01;;2021;5;1;2;pop;r&b;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
18;AM;Nio Garcia;2810654;2021-05-01;;2021;5;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
19;DÁKITI;Bad Bunny;2736153;2021-05-01;;2021;5;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
20;telepatía;Kali Uchis;2672726;2021-05-01;;2021;5;1;2;colombian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;The Business;Tiësto;2625560;2021-05-01;dance pop;2021;5;1;10;slap house;dutch edm;brostep;big room;pop dance;edm;tropical house;trance;house;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Runaway;AURORA;2385828;2021-05-01;;2021;5;1;2;norwegian pop;art pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;Save Your Tears;The Weeknd;2255779;2021-05-01;;2021;5;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
24;Hold On;Justin Bieber;2253007;2021-05-01;;2021;5;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Up;Cardi B;2229484;2021-05-01;;2021;5;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
26;Mood (feat. iann dior);24kGoldn;2082759;2021-05-01;;2021;5;1;1;cali rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;Bandido;Myke Towers;2021369;2021-05-01;;2021;5;1;1;trap latino;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
28;911;Sech;1966263;2021-05-01;;2021;5;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
29;Heat Waves;Glass Animals;1960679;2021-05-01;;2021;5;1;3;gauze pop;shiver pop;indietronica;;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;Your Love (9PM);ATB;1943612;2021-05-01;;2021;5;1;4;german dance;german trance;german techno;trance;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Goosebumps - Remix;Travis Scott;1922311;2021-05-01;;2021;5;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;Arcade;Duncan Laurence;1889344;2021-05-01;;2021;5;1;1;dutch pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;Streets;Doja Cat;1879142;2021-05-01;;2021;5;1;2;pop;dance pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
34;Watermelon Sugar;Harry Styles;1862886;2021-05-01;;2021;5;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
35;EL MAKINON;KAROL G;1862590;2021-05-01;;2021;5;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
