Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Señorita;Shawn Mendes;9141430;2019-07-01;;2019;7;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;I Don't Care (with Justin Bieber);Ed Sheeran;5126044;2019-07-01;;2019;7;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;bad guy;Billie Eilish;4814461;2019-07-01;;2019;7;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Beautiful People (feat. Khalid);Ed Sheeran;4598319;2019-07-01;;2019;7;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Old Town Road (feat. Billy Ray Cyrus) - Remix;Lil Nas X;4495512;2019-07-01;;2019;7;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6;Panini;Lil Nas X;3244250;2019-07-01;;2019;7;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
7;Money In The Grave (Drake ft. Rick Ross);Drake;3148095;2019-07-01;;2019;7;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
8;Callaita;Bad Bunny;3103475;2019-07-01;;2019;7;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;You Need To Calm Down;Taylor Swift;3044316;2019-07-01;;2019;7;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Otro Trago;Sech;2955993;2019-07-01;;2019;7;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
11;Never Really Over;Katy Perry;2550535;2019-07-01;;2019;7;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;If I Can't Have You;Shawn Mendes;2521976;2019-07-01;;2019;7;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Con Calma;Daddy Yankee;2448302;2019-07-01;;2019;7;1;4;reggaeton;latin;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
14;QUE PRETENDES;J Balvin;2432657;2019-07-01;;2019;7;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;2418535;2019-07-01;;2019;7;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
