Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;7540770;2021-04-01;;2021;4;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;MONTERO (Call Me By Your Name);Lil Nas X;6980543;2021-04-01;;2021;4;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
3;Astronaut In The Ocean;Masked Wolf;4426518;2021-04-01;;2021;4;1;1;australian hip hop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;drivers license;Olivia Rodrigo;3905019;2021-04-01;;2021;4;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Save Your Tears;The Weeknd;3753723;2021-04-01;;2021;4;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
6;telepatía;Kali Uchis;3732084;2021-04-01;;2021;4;1;2;colombian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Leave The Door Open;Bruno Mars;3401003;2021-04-01;;2021;4;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Heartbreak Anniversary;Giveon;3218304;2021-04-01;;2021;4;1;2;pop;r&b;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
9;Hold On;Justin Bieber;3215727;2021-04-01;;2021;4;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Blinding Lights;The Weeknd;3129819;2021-04-01;;2021;4;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
11;DÁKITI;Bad Bunny;2932694;2021-04-01;;2021;4;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;The Business;Tiësto;2920678;2021-04-01;dance pop;2021;4;1;10;slap house;dutch edm;brostep;big room;pop dance;edm;tropical house;trance;house;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Levitating (feat. DaBaby);Dua Lipa;2876593;2021-04-01;;2021;4;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
