Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;thank u, next;Ariana Grande;3978028;2019-01-01;;2019;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;3883836;2019-01-01;;2019;1;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;3351784;2019-01-01;;2019;1;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
4;Wow.;Post Malone;3195966;2019-01-01;;2019;1;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;MIA (feat. Drake);Bad Bunny;2777884;2019-01-01;;2019;1;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;SICKO MODE;Travis Scott;2624453;2019-01-01;;2019;1;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;Without Me;Halsey;2618489;2019-01-01;;2019;1;1;6;pop;etherpop;post-teen pop;electropop;dance pop;indie poptimism;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
8;Sweet but Psycho;Ava Max;2432084;2019-01-01;;2019;1;1;3;pop;dance pop;post-teen pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Calma - Remix;Pedro Capó;2385494;2019-01-01;;2019;1;1;3;puerto rican pop;latin pop;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
10;Happier;Marshmello;2385450;2019-01-01;;2019;1;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Adan y Eva;Paulo Londra;2191752;2019-01-01;;2019;1;1;3;argentine hip hop;trap argentino;trap latino;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
12;ZEZE (feat. Travis Scott & Offset);Kodak Black;2160788;2019-01-01;;2019;1;1;7;melodic rap;rap;miami hip hop;florida rap;trap;southern hip hop;hip hop;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13;Going Bad (feat. Drake);Meek Mill;2020725;2019-01-01;;2019;1;1;6;rap;philly rap;trap;pop rap;southern hip hop;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
14;Mo Bamba;Sheck Wes;1904157;2019-01-01;;2019;1;1;4;vapor trap;underground hip hop;trap;rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;High Hopes;Panic! At The Disco;1818904;2019-01-01;;2019;1;1;3;baroque pop;emo;modern rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
16;Eastside (with Halsey & Khalid);benny blanco;1766878;2019-01-01;;2019;1;1;4;pop;pop rap;electropop;pop dance;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Girls Like You (feat. Cardi B);Maroon 5;1748652;2019-01-01;;2019;1;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
18;Drip Too Hard (Lil Baby & Gunna);Lil Baby;1702113;2019-01-01;;2019;1;1;4;atl trap;atl hip hop;rap;trap;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
19;I Like It;Cardi B;1649370;2019-01-01;;2019;1;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
20;Better Now;Post Malone;1610618;2019-01-01;;2019;1;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;Lucid Dreams;Juice WRLD;1599587;2019-01-01;;2019;1;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22;Bohemian Rhapsody - Remastered 2011;Queen;1575089;2019-01-01;;2019;1;1;3;glam rock;classic rock;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
23;Shallow;Lady Gaga;1569388;2019-01-01;;2019;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;God's Plan;Drake;1552552;2019-01-01;;2019;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
25;rockstar (feat. 21 Savage);Post Malone;1532954;2019-01-01;;2019;1;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26;SAD!;XXXTENTACION;1520786;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;Arms Around You (feat. Maluma & Swae Lee);XXXTENTACION;1480647;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;In My Mind;Dynoro;1434955;2019-01-01;;2019;1;1;4;pop dance;edm;tropical house;electro house;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;imagine;Ariana Grande;1415040;2019-01-01;;2019;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;Ella Quiere Beber - Remix;Anuel AA;1401784;2019-01-01;;2019;1;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
31;Better;Khalid;1355797;2019-01-01;;2019;1;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
32;Promises (with Sam Smith);Calvin Harris;1354412;2019-01-01;;2019;1;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;when the party's over;Billie Eilish;1354146;2019-01-01;;2019;1;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
34;One Kiss (with Dua Lipa);Calvin Harris;1349422;2019-01-01;;2019;1;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
35;Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;1327813;2019-01-01;;2019;1;1;3;dance pop;pop;neo soul;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
36;Vaina Loca;Ozuna;1323457;2019-01-01;;2019;1;1;4;puerto rican pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
37;Close To Me (with Diplo) (feat. Swae Lee);Ellie Goulding;1316696;2019-01-01;;2019;1;1;8;pop;uk pop;dance pop;indietronica;metropopolis;post-teen pop;electropop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
38;Leave Me Alone;Flipp Dinero;1288354;2019-01-01;;2019;1;1;6;melodic rap;trap;vapor trap;rap;southern hip hop;pop rap;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
39;Moonlight;XXXTENTACION;1287251;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
40;Wake Up in the Sky;Gucci Mane;1266708;2019-01-01;;2019;1;1;8;rap;trap;atl hip hop;southern hip hop;pop rap;dirty south rap;gangster rap;hip hop;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
41;Adictiva;Daddy Yankee;1244010;2019-01-01;;2019;1;1;4;reggaeton;latin;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
42;In My Feelings;Drake;1234391;2019-01-01;;2019;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
43;Taste (feat. Offset);Tyga;1208890;2019-01-01;;2019;1;1;6;pop rap;rap;southern hip hop;trap;hip hop;dance pop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
44;Be Alright;Dean Lewis;1192272;2019-01-01;;2019;1;1;5;indie cafe pop;pop;australian pop;pop rock;post-teen pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
45;Solo de Mi;Bad Bunny;1174937;2019-01-01;;2019;1;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
46;Shape of You;Ed Sheeran;1161132;2019-01-01;;2019;1;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
47;Don't Stop Me Now - Remastered 2011;Queen;1155173;2019-01-01;;2019;1;1;3;glam rock;classic rock;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
48;Saturday Nights;Khalid;1144090;2019-01-01;;2019;1;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
49;Havana (feat. Young Thug);Camila Cabello;1123301;2019-01-01;;2019;1;1;4;pop;post-teen pop;dance pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
50;Youngblood;5 Seconds of Summer;1122507;2019-01-01;;2019;1;1;5;pop;boy band;post-teen pop;dance pop;electropop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
51;whoa (mind in awe);XXXTENTACION;1113177;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
52;Money;Cardi B;1070677;2019-01-01;;2019;1;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
53;Desconocidos;Mau y Ricky;1063063;2019-01-01;;2019;1;1;5;pop venezolano;reggaeton;trap latino;latin pop;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
54;BEBE;6ix9ine;1057399;2019-01-01;;2019;1;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55;Nonstop;Drake;1057376;2019-01-01;;2019;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
56;Look Back at It;A Boogie Wit da Hoodie;1039862;2019-01-01;;2019;1;1;4;melodic rap;rap;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
57;monster;21 Savage;1039050;2019-01-01;;2019;1;1;4;atl hip hop;rap;trap;hip hop;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
58;Cuando Te Besé;Becky G;1029266;2019-01-01;;2019;1;1;8;rap latina;latin viral pop;reggaeton;latin pop;trap latino;pop;dance pop;latin;;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
59;Te Boté - Remix;Nio Garcia;1027193;2019-01-01;;2019;1;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
60;Solo (feat. Demi Lovato);Clean Bandit;1021738;2019-01-01;;2019;1;1;8;pop;uk dance;dance pop;uk funky;tropical house;pop dance;post-teen pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
61;a lot;21 Savage;1020796;2019-01-01;;2019;1;1;4;atl hip hop;rap;trap;hip hop;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
62;New Rules;Dua Lipa;1007381;2019-01-01;;2019;1;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
63;Psycho (feat. Ty Dolla $ign);Post Malone;1005916;2019-01-01;;2019;1;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
64;Reggaeton;J Balvin;1001566;2019-01-01;;2019;1;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
65;Body (feat. brando);Loud Luxury;997092;2019-01-01;;2019;1;1;7;pop dance;tropical house;edm;dance pop;electro house;pop edm;pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
66;Bad Liar;Imagine Dragons;996870;2019-01-01;;2019;1;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
67;Kiss and Make Up;Dua Lipa;962317;2019-01-01;;2019;1;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
68;Ruin My Life;Zara Larsson;961238;2019-01-01;edm;2019;1;1;10;pop;scandipop;dance pop;swedish electropop;post-teen pop;tropical house;swedish pop;pop dance;electropop;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
69;KIKA;6ix9ine;960024;2019-01-01;;2019;1;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
70;The Middle;Zedd;959284;2019-01-01;electropop;2019;1;1;10;pop;dance pop;edm;pop dance;german techno;complextro;post-teen pop;tropical house;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
71;lovely;Billie Eilish;956792;2019-01-01;;2019;1;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
72;Imposible;Luis Fonsi;950131;2019-01-01;;2019;1;1;3;puerto rican pop;latin;latin pop;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
73;Ya No Tiene Novio;Sebastian Yatra;938819;2019-01-01;;2019;1;1;4;reggaeton colombiano;colombian pop;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
74;BAD!;XXXTENTACION;938755;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
75;Jocelyn Flores;XXXTENTACION;935313;2019-01-01;;2019;1;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
76;no tears left to cry;Ariana Grande;931611;2019-01-01;;2019;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
77;Another One Bites The Dust - Remastered 2011;Queen;925388;2019-01-01;;2019;1;1;3;glam rock;classic rock;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
78;Startender (feat. Offset and Tyga);A Boogie Wit da Hoodie;913006;2019-01-01;;2019;1;1;4;melodic rap;rap;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
79;Atrasadinha - Ao Vivo;Felipe Araújo;888376;2019-01-01;;2019;1;1;4;sertanejo pop;sertanejo universitario;sertanejo;funk carioca;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
80;Natural;Imagine Dragons;883348;2019-01-01;;2019;1;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
81;Bubalu;Becky G;882001;2019-01-01;;2019;1;1;8;rap latina;latin viral pop;reggaeton;latin pop;trap latino;pop;dance pop;latin;;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
82;Beautiful (feat. Camila Cabello);Bazzi;876235;2019-01-01;;2019;1;1;5;pop;post-teen pop;dance pop;electropop;pop rap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
83;Billie Jean;Michael Jackson;870194;2019-01-01;;2019;1;1;3;soul;r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
84;FEFE;6ix9ine;866076;2019-01-01;;2019;1;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
85;Love Someone;Lukas Graham;850476;2019-01-01;;2019;1;1;3;scandipop;pop;danish pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
86;2002;Anne-Marie;842383;2019-01-01;;2019;1;1;6;pop;uk pop;dance pop;post-teen pop;tropical house;pop dance;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
87;Nice For What;Drake;834237;2019-01-01;;2019;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
88;Amanece;Anuel AA;834131;2019-01-01;;2019;1;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
89;IDGAF;Dua Lipa;833577;2019-01-01;;2019;1;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
90;FRIENDS;Marshmello;831606;2019-01-01;;2019;1;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
91;I Love It (& Lil Pump);Kanye West;827696;2019-01-01;;2019;1;1;2;chicago rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
92;Believer;Imagine Dragons;815715;2019-01-01;;2019;1;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
