Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;ROCKSTAR (feat. Roddy Ricch);DaBaby;5434158;2020-07-01;;2020;7;1;2;north carolina hip hop;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;Savage Love (Laxed - Siren Beat);Jawsh 685;4633129;2020-07-01;;2020;7;1;1;nz pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Blinding Lights;The Weeknd;4632923;2020-07-01;;2020;7;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
4;Roses - Imanbek Remix;SAINt JHN;3903956;2020-07-01;;2020;7;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
5;How You Like That;BLACKPINK;3758404;2020-07-01;;2020;7;1;2;k-pop girl group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Watermelon Sugar;Harry Styles;3573171;2020-07-01;;2020;7;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;death bed (coffee for your head);Powfu;3144099;2020-07-01;;2020;7;1;1;sad rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;Rain On Me (with Ariana Grande);Lady Gaga;3057256;2020-07-01;;2020;7;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Toosie Slide;Drake;2914226;2020-07-01;;2020;7;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
10;Dance Monkey;Tones And I;2692372;2020-07-01;;2020;7;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Party Girl;StaySolidRocky;2687860;2020-07-01;;2020;7;1;1;melodic rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12;Breaking Me;Topic;2663421;2020-07-01;;2020;7;1;6;german dance;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;ily (i love you baby) (feat. Emilee);Surf Mesa;2612950;2020-07-01;;2020;7;1;1;tropical house;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Don't Start Now;Dua Lipa;2605674;2020-07-01;;2020;7;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Break My Heart;Dua Lipa;2545950;2020-07-01;;2020;7;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;Blueberry Faygo;Lil Mosey;2444466;2020-07-01;;2020;7;1;5;melodic rap;rap conscient;vapor trap;trap;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17;Stuck with U (with Justin Bieber);Ariana Grande;2239497;2020-07-01;;2020;7;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Supalonely;BENEE;2166635;2020-07-01;;2020;7;1;3;nz pop;pop;alt z;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;The Box;Roddy Ricch;2149199;2020-07-01;;2020;7;1;3;melodic rap;rap;trap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20;MAMACITA;Black Eyed Peas;2140756;2020-07-01;;2020;7;1;3;dance pop;pop rap;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;Someone You Loved;Lewis Capaldi;2067653;2020-07-01;;2020;7;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;THE SCOTTS;THE SCOTTS;2062523;2020-07-01;;2020;7;1;1;pop rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix;Tory Lanez;2006578;2020-07-01;;2020;7;1;8;canadian trap;rap;melodic rap;toronto rap;pop rap;trap;canadian hip hop;r&b;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
24;La Jeepeta - Remix;Nio Garcia;2002456;2020-07-01;;2020;7;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
25;Intentions (feat. Quavo);Justin Bieber;1964952;2020-07-01;;2020;7;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;Wash Us In The Blood;Kanye West;1900497;2020-07-01;;2020;7;1;2;chicago rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;Before You Go;Lewis Capaldi;1856486;2020-07-01;;2020;7;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
28;TKN (feat. Travis Scott);ROSALÍA;1853387;2020-07-01;;2020;7;1;1;r&b en espanol;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
29;Relación;Sech;1814907;2020-07-01;;2020;7;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
30;GOOBA;6ix9ine;1799634;2020-07-01;;2020;7;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
31;Say So;Doja Cat;1799279;2020-07-01;;2020;7;1;2;pop;dance pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
32;Sunday Best;Surfaces;1771394;2020-07-01;;2020;7;1;2;bedroom soul;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
33;Falling;Trevor Daniel;1756925;2020-07-01;;2020;7;1;3;melodic rap;pop rap;alternative r&b;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
34;Savage Remix (feat. Beyoncé);Beyoncé;1688787;2020-07-01;;2020;7;1;4;dance pop;pop;post-teen pop;r&b;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
35;Circles;Post Malone;1662147;2020-07-01;;2020;7;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
36;In Your Eyes;The Weeknd;1633355;2020-07-01;;2020;7;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
37;Hasta Que Dios Diga;Anuel AA;1611800;2020-07-01;;2020;7;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
38;Be Kind (with Halsey);Marshmello;1594488;2020-07-01;;2020;7;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
39;Play Date;Melanie Martinez;1588350;2020-07-01;;2020;7;1;5;electropop;pop;alt z;modern rock;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
40;goosebumps;Travis Scott;1578158;2020-07-01;;2020;7;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41;Tusa;KAROL G;1551403;2020-07-01;;2020;7;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
42;Kings & Queens;Ava Max;1524093;2020-07-01;;2020;7;1;3;pop;dance pop;post-teen pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;Adore You;Harry Styles;1519391;2020-07-01;;2020;7;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
44;Señorita;Shawn Mendes;1518369;2020-07-01;;2020;7;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
45;Lose Somebody;Kygo;1498862;2020-07-01;;2020;7;1;4;tropical house;pop dance;pop;edm;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
46;Caramelo;Ozuna;1478231;2020-07-01;;2020;7;1;4;puerto rican pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
47;Memories;Maroon 5;1445850;2020-07-01;;2020;7;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
