genres;main_genre;;;
portland hip hop;Rap and Hip-Hop;;;
cubaton;Reggae;;;
philly soul;R&B;;;
comic metal;Heavy Metal;;;
boston rock;Rock;;;
jazz boom bap;Jazz;;;
russian gangster rap;Rap and Hip-Hop;;;
canadian pop punk;Rock;;;
italian disco;Dance Music, Techno and House;;;
cancion infantil latinoamericana;Not_assignable;;;
pop peruano;Pop;;;
mainland chinese pop;Pop;;;
tekk;Dance Music, Techno and House;;;
russian emo rap;Rap and Hip-Hop;;;
synthwave;Dance Music, Techno and House;;;
seattle hip hop;Rap and Hip-Hop;;;
boom bap;Rap and Hip-Hop;;;
st louis rap;Rap and Hip-Hop;;;
turkish alternative;Not_assignable;;;
levenslied;Not_assignable;;;
modern southern rock;Rock;;;
tollywood;Utility;;;
chilean indie;Pop;;;
indie hip hop;Rap and Hip-Hop;;;
melbourne bounce;Rap and Hip-Hop;;;
ghanaian pop;Pop;;;
forro de favela;Not_assignable;;;
contemporary jazz;Jazz;;;
tropicalia;Latin American music;;;
manguebeat;Rock;;;
baltimore indie;Pop;;;
minneapolis sound;Rock;;;
cumbia peruana;Latin American music;;;
classic pakistani pop;Pop;;;
soul jazz;Jazz;;;
future house;Dance Music, Techno and House;;;
water;Not_assignable;;;
hardcore techno;Dance Music, Techno and House;;;
christian trap;Rap and Hip-Hop;;;
asmr;Not_assignable;;;
modern funk;R&B;;;
post-rock;Rock;;;
rock drums;Rock;;;
red dirt;Country;;;
desi trap;Rap and Hip-Hop;;;
new jersey indie;Pop;;;
velha guarda;Not_assignable;;;
taiwan singer-songwriter;Not_assignable;;;
pet calming;Not_assignable;;;
float house;Dance Music, Techno and House;;;
aussie drill;Rap and Hip-Hop;;;
corridos classicos;Not_assignable;;;
rap cristiano;Rap and Hip-Hop;;;
russian drill;Rap and Hip-Hop;;;
neo-singer-songwriter;Not_assignable;;;
chicago bop;Jazz;;;
j-division;Not_assignable;;;
gothic symphonic metal;Heavy Metal;;;
vegas indie;Pop;;;
variete francaise;Utility;;;
instrumental rock;Rock;;;
turkce drill;Rap and Hip-Hop;;;
british folk;Folk;;;
trap baiano;Rap and Hip-Hop;;;
traditional blues;Jazz;;;
swedish drill;Rap and Hip-Hop;;;
indian indie;Pop;;;
carnaval;Latin American music;;;
experimental hip hop;Rap and Hip-Hop;;;
djent;Heavy Metal;;;
ambient folk;Folk;;;
rock gospel brasileiro;Utility;;;
el paso indie;Pop;;;
stomp pop;Pop;;;
alternative pop rock;Rock;;;
colombian hip hop;Rap and Hip-Hop;;;
middle earth;World;;;
j-acoustic;Not_assignable;;;
korean ost;Not_assignable;;;
kentucky roots;Not_assignable;;;
latin metal;Heavy Metal;;;
australian reggae fusion;Reggae;;;
pop electronico;Dance Music, Techno and House;;;
christmas instrumental;Utility;;;
liedermacher;Utility;;;
impressionism;Classical;;;
flamenco;Latin American music;;;
afrofuturismo brasileiro;Utility;;;
laiko;Utility;;;
rai;Utility;;;
tierra caliente;Latin American music;;;
rock alternativo brasileiro;Rock;;;
brighton indie;Pop;;;
classic girl group;Pop;;;
ukrainian pop;Pop;;;
slayer;Heavy Metal;;;
russelater;Dance Music, Techno and House;;;
swedish singer-songwriter;Not_assignable;;;
finnish metal;Heavy Metal;;;
hindi hip hop;Rap and Hip-Hop;;;
tamil hip hop;Rap and Hip-Hop;;;
christian relaxative;Utility;;;
pinoy indie;Pop;;;
english indie rock;Rock;;;
australian indie folk;Folk;;;
asian american hip hop;Rap and Hip-Hop;;;
cumbia ranchera;Latin American music;;;
jazztronica;Jazz;;;
sound;Not_assignable;;;
sleaze rock;Rock;;;
german hard rock;Rock;;;
happy hardcore;Dance Music, Techno and House;;;
electropowerpop;Pop;;;
australian country;Country;;;
afro soul;R&B;;;
czech rock;Rock;;;
solo wave;Rock;;;
banda jalisciense;Latin American music;;;
mexican rock-and-roll;Rock;;;
lo-fi;Lo-Fi;;;
nueva cancion;Utility;;;
r&b argentino;R&B;;;
czech hip hop;Rap and Hip-Hop;;;
rap df;Rap and Hip-Hop;;;
latin afrobeat;Latin American music;;;
russian punk;Rock;;;
classic danish pop;Pop;;;
duranguense;Latin American music;;;
reggaeton chileno;Reggae;;;
wave;Rock;;;
bolero mexicano;Latin American music;;;
early modern classical;Classical;;;
progressive post-hardcore;Rock;;;
mississippi hip hop;Rap and Hip-Hop;;;
medieval folk;Folk;;;
lagu jawa;Utility;;;
neoclassical darkwave;Heavy Metal;;;
musica catalana;Utility;;;
electro swing;Dance Music, Techno and House;;;
swedish pop rap;Rap and Hip-Hop;;;
electronic rock;Rock;;;
women's music;Not_assignable;;;
barnmusik;Not_assignable;;;
arabic hip hop;Rap and Hip-Hop;;;
singaporean pop;Pop;;;
future garage;Dance Music, Techno and House;;;
rif;Not_assignable;;;
russian post-punk;Rock;;;
rock steady;Rock;;;
j-pop boy group;Pop;;;
liquid funk;R&B;;;
harlem renaissance;Utility;;;
pop virale italiano;Pop;;;
classic norwegian pop;Pop;;;
russian grime;Dance Music, Techno and House;;;
hopebeat;Rock;;;
classic cantopop;Pop;;;
teen pop;Pop;;;
japanese electropop;Pop;;;
swedish power metal;Heavy Metal;;;
persian pop;Pop;;;
jazz cover;Jazz;;;
kirtan;Utility;;;
eau claire indie;Pop;;;
greek trap;Rap and Hip-Hop;;;
mollywood;Utility;;;
synth funk;R&B;;;
spanish punk;Rock;;;
norwegian pop rap;Rap and Hip-Hop;;;
cyberpunk;Rock;;;
surf punk;Rock;;;
swedish tropical house;Dance Music, Techno and House;;;
trap funk;R&B;;;
canzone d'autore;Utility;;;
german house;Dance Music, Techno and House;;;
rhode island rap;Rap and Hip-Hop;;;
indie quebecois;Pop;;;
disney horspiele;Not_assignable;;;
psychedelic soul;R&B;;;
austindie;Pop;;;
salsa international;Latin American music;;;
art punk;Rock;;;
wonky;Dance Music, Techno and House;;;
classic russian pop;Pop;;;
livetronica;Not_assignable;;;
uk melodic rap;Rap and Hip-Hop;;;
drill brasileiro;Rap and Hip-Hop;;;
ghanaian alternative;Not_assignable;;;
garage rock revival;Rock;;;
polish classical;Classical;;;
future funk;R&B;;;
garage psych;Rock;;;
pinoy r&b;R&B;;;
anime rap;Rap and Hip-Hop;;;
rap underground mexicano;Rap and Hip-Hop;;;
russian ccm;Utility;;;
glee club;Pop;;;
rap maroc;Rap and Hip-Hop;;;
rap sardegna;Rap and Hip-Hop;;;
fnf;Not_assignable;;;
athens indie;Pop;;;
folk punk;Rock;;;
kansas city hip hop;Rap and Hip-Hop;;;
organic electronic;Dance Music, Techno and House;;;
rap underground espanol;Rap and Hip-Hop;;;
banda carnavalera;Latin American music;;;
nu gaze;Rock;;;
javanese dangdut;Utility;;;
nerdcore brasileiro;Rap and Hip-Hop;;;
jazz guitar;Jazz;;;
chicha;Utility;;;
indonesian rock;Rock;;;
moroccan pop;Pop;;;
bronx hip hop;Rap and Hip-Hop;;;
german punk;Rock;;;
kazakh hip hop;Rap and Hip-Hop;;;
taiwan indie;Pop;;;
danish rock;Rock;;;
concurso de talentos argentino;Not_assignable;;;
electro-pop francais;Pop;;;
indonesian folk pop;Pop;;;
vallenato moderno;Not_assignable;;;
j-pop girl group;Pop;;;
channel pop;Pop;;;
ghazal;Utility;;;
bluegrass;Country;;;
canadian latin;Not_assignable;;;
kazakh pop;Pop;;;
cosmic american;Not_assignable;;;
trap venezolano;Rap and Hip-Hop;;;
comedy;Not_assignable;;;
classic indo pop;Pop;;;
cumbia santafesina;Latin American music;;;
british indie rock;Rock;;;
dangdut koplo;Utility;;;
reggaeton mexicano;Reggae;;;
nu-metalcore;Heavy Metal;;;
slowcore;Rock;;;
belgian dance;Dance Music, Techno and House;;;
electronica argentina;Dance Music, Techno and House;;;
j-metal;Heavy Metal;;;
ecuadorian pop;Pop;;;
comedy rap;Rap and Hip-Hop;;;
ottawa rap;Rap and Hip-Hop;;;
idol rock;Rock;;;
haryanvi pop;Pop;;;
medieval rock;Rock;;;
fourth world;World;;;
indonesian viral pop;Pop;;;
jazz trio;Jazz;;;
australian garage punk;Rock;;;
dansband;Pop;;;
chicago punk;Rock;;;
rock uruguayo;Rock;;;
rap geek;Rap and Hip-Hop;;;
central asian hip hop;Rap and Hip-Hop;;;
tex-mex;Country;;;
hamburg electronic;Dance Music, Techno and House;;;
oakland indie;Pop;;;
danish electronic;Dance Music, Techno and House;;;
ye ye;Pop;;;
kentucky indie;Pop;;;
uptempo hardcore;Dance Music, Techno and House;;;
hip hop tuga;Rap and Hip-Hop;;;
breakbeat;Dance Music, Techno and House;;;
merengue;Latin American music;;;
indonesian r&b;R&B;;;
australian talent show;Not_assignable;;;
nz reggae;Reggae;;;
pakistani pop;Pop;;;
j-idol;Not_assignable;;;
uk dnb;Dance Music, Techno and House;;;
north east england indie;Pop;;;
retro soul;R&B;;;
gaming dubstep;Dance Music, Techno and House;;;
uk doom metal;Heavy Metal;;;
russian electronic;Dance Music, Techno and House;;;
russian rave;Dance Music, Techno and House;;;
trap pesado;Rap and Hip-Hop;;;
liverpool indie;Pop;;;
german singer-songwriter;Not_assignable;;;
greek hip hop;Rap and Hip-Hop;;;
classic indonesian rock;Rock;;;
spanish metal;Heavy Metal;;;
austropop;Pop;;;
chicago soul;R&B;;;
brazilian indie;Pop;;;
russian romanticism;Classical;;;
bc underground hip hop;Rap and Hip-Hop;;;
finnish power metal;Heavy Metal;;;
japanese soul;R&B;;;
deep disco house;Dance Music, Techno and House;;;
pop violin;Pop;;;
indian singer-songwriter;Pop;;;
german pop rock;Rock;;;
dutch indie;Pop;;;
chutney;Folk;;;
instrumental funk;R&B;;;
rave funk;Dance Music, Techno and House;;;
japanese instrumental;Not_assignable;;;
contemporary post-bop;Jazz;;;
danish metal;Heavy Metal;;;
australian house;Dance Music, Techno and House;;;
icelandic indie;Pop;;;
czech pop;Pop;;;
canadian electropop;Pop;;;
rap cearense;Rap and Hip-Hop;;;
german power metal;Heavy Metal;;;
melodic thrash;Heavy Metal;;;
chill guitar;Lo-Fi;;;
minimal tech house;Dance Music, Techno and House;;;
afrobeat;R&B;;;
swedish melodeath;Heavy Metal;;;
norwegian rock;Rock;;;
musica tradicional cubana;Utility;;;
south african alternative;Not_assignable;;;
brega funk;R&B;;;
rap genovese;Rap and Hip-Hop;;;
turkce slow sarkilar;Utility;;;
pinoy trap;Rap and Hip-Hop;;;
welsh rock;Rock;;;
uk dancehall;Reggae;;;
punjabi hip hop;Rap and Hip-Hop;;;
egyptian pop;Pop;;;
swiss indie;Pop;;;
musica triste brasileira;Utility;;;
virginia hip hop;Rap and Hip-Hop;;;
brazilian ccm;Utility;;;
destroy techno;Dance Music, Techno and House;;;
nashville singer-songwriter;Not_assignable;;;
italian baroque;Classical;;;
vapor pop;Pop;;;
sky room;Dance Music, Techno and House;;;
christian metal;Heavy Metal;;;
pinoy reggae;Reggae;;;
rap tunisien;Rap and Hip-Hop;;;
french soundtrack;Not_assignable;;;
turkish deep house;Dance Music, Techno and House;;;
icelandic pop;Pop;;;
rap baiano;Rap and Hip-Hop;;;
pakistani hip hop;Rap and Hip-Hop;;;
australian trap;Rap and Hip-Hop;;;
discofox;Not_assignable;;;
rap algerien;Rap and Hip-Hop;;;
uk reggae;Reggae;;;
israeli mediterranean;Utility;;;
drone;Downtempo and Ambient;;;
classic city pop;Pop;;;
healing;Not_assignable;;;
japanese classical;Classical;;;
rap canario;Rap and Hip-Hop;;;
bubble trance;Dance Music, Techno and House;;;
colombian rock;Rock;;;
australian children's music;Not_assignable;;;
thai indie pop;Pop;;;
harlem hip hop;Rap and Hip-Hop;;;
turkish psych;Rock;;;
russian indie;Pop;;;
salsa peruana;Latin American music;;;
new orleans jazz;Jazz;;;
salsa venezolana;Latin American music;;;
psychedelic trance;Dance Music, Techno and House;;;
rock brasiliense;Rock;;;
bhangra;Pop;;;
ethnotronica;Dance Music, Techno and House;;;
italian pop rock;Rock;;;
binaural;Not_assignable;;;
batidao romantico;Not_assignable;;;
progressive metalcore;Heavy Metal;;;
groove room;R&B;;;
peruvian rock;Rock;;;
zhongguo feng;Utility;;;
brazilian jazz;Jazz;;;
scottish singer-songwriter;Not_assignable;;;
swedish soul;R&B;;;
antideutsche;Not_assignable;;;
swedish jazz;Jazz;;;
grave wave;Dance Music, Techno and House;;;
transpop;Pop;;;
black metal;Heavy Metal;;;
scream rap;Rap and Hip-Hop;;;
german trance;Dance Music, Techno and House;;;
south african rock;Rock;;;
portuguese pop;Pop;;;
seattle indie;Pop;;;
veracruz indie;Pop;;;
chillsynth;Pop;;;
gypsy jazz;Jazz;;;
rap inde;Pop;;;
alternative pop;Pop;;;
kosovan pop;Pop;;;
folktronica;Dance Music, Techno and House;;;
australian metalcore;Heavy Metal;;;
swedish death metal;Heavy Metal;;;
gujarati pop;Pop;;;
funk das antigas;R&B;;;
belgian rock;Rock;;;
irish folk;Folk;;;
uk house;Dance Music, Techno and House;;;
study beats;Lo-Fi;;;
volksmusik;Utility;;;
folk metal;Heavy Metal;;;
deep pop edm;Dance Music, Techno and House;;;
chihuahua indie;Pop;;;
kiwi rock;Rock;;;
rock gaucho;Rock;;;
chicago hardcore;Not_assignable;;;
progressive groove metal;Heavy Metal;;;
shush;Heavy Metal;;;
palm desert scene;Utility;;;
swedish indie rock;Rock;;;
instrumental grime;Dance Music, Techno and House;;;
rock kapak;Rock;;;
icelandic rock;Rock;;;
israeli rock;Rock;;;
morelos indie;Pop;;;
future rock;Rock;;;
violao;Utility;;;
german alternative rock;Rock;;;
jump up;Dance Music, Techno and House;;;
australian alternative pop;Pop;;;
classic israeli pop;Pop;;;
hardstyle;Dance Music, Techno and House;;;
soca;R&B;;;
boom bap brasileiro;Rap and Hip-Hop;;;
indian edm;Dance Music, Techno and House;;;
hungarian pop;Pop;;;
hindi indie;Pop;;;
muziek voor kinderen;Not_assignable;;;
fotbollslatar;Not_assignable;;;
indonesian folk;Folk;;;
ectofolk;Folk;;;
indonesian pop punk;Rock;;;
funky tech house;Dance Music, Techno and House;;;
noise rock;Rock;;;
scandinavian r&b;R&B;;;
kollywood;Not_assignable;;;
space rock;Rock;;;
kavkaz;Dance Music, Techno and House;;;
kawaii future bass;Dance Music, Techno and House;;;
okinawan pop;Pop;;;
nursery;Not_assignable;;;
scottish new wave;Rock;;;
musica costena;Utility;;;
samba de roda;Latin American music;;;
alte;Classical;;;
danish pop rock;Rock;;;
samba moderno;Latin American music;;;
pop folk;Folk;;;
minecraft;Not_assignable;;;
italian alternative;Not_assignable;;;
singaporean mandopop;Pop;;;
parody;Not_assignable;;;
uk bass;Dance Music, Techno and House;;;
dark wave;Heavy Metal;;;
opera metal;Heavy Metal;;;
guadalajara indie;Pop;;;
turkish edm;Dance Music, Techno and House;;;
canadian ccm;Utility;;;
jovem guarda;Utility;;;
smooth saxophone;Jazz;;;
mambo chileno;Latin American music;;;
canadian soundtrack;Not_assignable;;;
american folk revival;Folk;;;
german reggae;Reggae;;;
music box;Not_assignable;;;
bergen indie;Pop;;;
free jazz;Jazz;;;
quebec indie;Pop;;;
cumbia paraguaya;Latin American music;;;
rave;Dance Music, Techno and House;;;
upstate ny rap;Rap and Hip-Hop;;;
czech folk;Folk;;;
japanese punk rock;Rock;;;
korean instrumental;Not_assignable;;;
midwest emo;Rock;;;
gothenburg indie;Pop;;;
scottish indie;Pop;;;
russian edm;Dance Music, Techno and House;;;
mexican classic rock;Rock;;;
vietnamese hip hop;Rap and Hip-Hop;;;
canzone napoletana;Utility;;;
nashville hip hop;Rap and Hip-Hop;;;
tribal house;Dance Music, Techno and House;;;
chilena;Latin American music;;;
cumbia sonorense;Latin American music;;;
indonesian hip hop;Rap and Hip-Hop;;;
indonesian worship;Utility;;;
folk rock italiano;Rock;;;
rune folk;Folk;;;
disney piano;Not_assignable;;;
celtic punk;Rock;;;
horror punk;Rock;;;
world fusion;World;;;
shibuya-kei;Jazz;;;
classic turkish pop;Pop;;;
indie catala;Pop;;;
reggaeton cristiano;Reggae;;;
idol;Not_assignable;;;
swedish hard rock;Rock;;;
funky house;Dance Music, Techno and House;;;
saskatchewan indie;Pop;;;
hip hop quebecois;Rap and Hip-Hop;;;
trap dominicano;Rap and Hip-Hop;;;
post-minimalism;Classical;;;
acoustic opm;Utility;;;
swedish indie folk;Folk;;;
french shoegaze;Rock;;;
city pop;Pop;;;
japanese trap;Rap and Hip-Hop;;;
argentine alternative rock;Rock;;;
scam rap;Rap and Hip-Hop;;;
tamaulipas rap;Rap and Hip-Hop;;;
dixieland;Jazz;;;
neo r&b;R&B;;;
brutal death metal;Heavy Metal;;;
ethereal wave;Heavy Metal;;;
manchester hip hop;Rap and Hip-Hop;;;
ska revival;Reggae;;;
pianissimo;Classical;;;
texas pop punk;Rock;;;
barnsagor;Not_assignable;;;
alternative americana;Not_assignable;;;
ann arbor indie;Pop;;;
electroclash;Dance Music, Techno and House;;;
bay area indie;Pop;;;
canadian americana;Not_assignable;;;
punk urbano;Rock;;;
mexican pop punk;Rock;;;
deconstructed club;Dance Music, Techno and House;;;
lebanese pop;Pop;;;
french romanticism;Classical;;;
cumbia del sureste;Latin American music;;;
pop quebecois;Pop;;;
christian metalcore;Heavy Metal;;;
british alternative rock;Rock;;;
welsh metal;Heavy Metal;;;
rock mineiro;Rock;;;
washington indie;Pop;;;
mariachi cristiano;Utility;;;
nintendocore;Rock;;;
umbanda;Utility;;;
celtic metal;Heavy Metal;;;
pop chileno;Pop;;;
shanty;Utility;;;
electro jazz;Jazz;;;
abstract hip hop;Rap and Hip-Hop;;;
glitch hop;Dance Music, Techno and House;;;
lithuanian electronic;Dance Music, Techno and House;;;
indonesian alternative rock;Rock;;;
kayokyoku;Utility;;;
nordic house;Dance Music, Techno and House;;;
austrian pop;Pop;;;
dutch cabaret;Not_assignable;;;
nuevo flamenco;Latin American music;;;
rock andaluz;Rock;;;
belgian indie;Pop;;;
oyun havasi;Not_assignable;;;
filthstep;Dance Music, Techno and House;;;
doom metal;Heavy Metal;;;
underground rap;Rap and Hip-Hop;;;
kabarett;Not_assignable;;;
native american;Utility;;;
sludge metal;Heavy Metal;;;
classic garage rock;Rock;;;
belarusian hip hop;Rap and Hip-Hop;;;
russian punk rock;Rock;;;
gothic rock;Rock;;;
taiwan hip hop;Rap and Hip-Hop;;;
nottingham indie;Pop;;;
funk 150 bpm;R&B;;;
viking metal;Heavy Metal;;;
polish rock;Rock;;;
early us punk;Rock;;;
jangle pop;Pop;;;
indonesian lo-fi pop;Pop;;;
german r&b;R&B;;;
italian romanticism;Classical;;;
acoustic rock;Rock;;;
indie rock mexicano;Rock;;;
classic polish pop;Pop;;;
cowboy western;Utility;;;
romanian house;Dance Music, Techno and House;;;
lo-fi emo;Lo-Fi;;;
glitch;Dance Music, Techno and House;;;
french jazz;Jazz;;;
lithuanian edm;Dance Music, Techno and House;;;
bitpop;Pop;;;
christlicher rap;Rap and Hip-Hop;;;
musica gaucha tradicionalista;Utility;;;
banjo;Not_assignable;;;
russian metal;Heavy Metal;;;
latin viral rap;Rap and Hip-Hop;;;
lo-fi vgm;Lo-Fi;;;
minimalism;Not_assignable;;;
ecm-style jazz;Jazz;;;
drill italiana;Rap and Hip-Hop;;;
south african house;Dance Music, Techno and House;;;
canadian folk;Folk;;;
russian underground rap;Rap and Hip-Hop;;;
acoustic chill;Not_assignable;;;
puerto rican rock;Rock;;;
piano blues;Jazz;;;
texas blues;Jazz;;;
viking folk;Folk;;;
uk pop punk;Rock;;;
afro house;Dance Music, Techno and House;;;
thai indie rock;Rock;;;
brazilian punk;Rock;;;
atmosphere;Not_assignable;;;
stomp and flutter;Rock;;;
vaporwave;Pop;;;
afghan pop;Pop;;;
sacramento hip hop;Rap and Hip-Hop;;;
gothenburg metal;Heavy Metal;;;
karadeniz pop;Pop;;;
narodna muzika;Utility;;;
musica aragonesa;Utility;;;
greek drill;Rap and Hip-Hop;;;
nova musica pernambucana;Utility;;;
hard bass;Dance Music, Techno and House;;;
steampunk;Rock;;;
north carolina roots;Not_assignable;;;
lds youth;Not_assignable;;;
nottingham hip hop;Rap and Hip-Hop;;;
manele;Utility;;;
yugoslav rock;Rock;;;
chill out;Lo-Fi;;;
ska chileno;Reggae;;;
gospel r&b;R&B;;;
italian opera;Classical;;;
australian underground hip hop;Rap and Hip-Hop;;;
battle rap;Rap and Hip-Hop;;;
children's folk;Folk;;;
brazilian bass;Dance Music, Techno and House;;;
auckland indie;Pop;;;
tropical alternativo;Latin American music;;;
chicago blues;Jazz;;;
icelandic classical;Utility;;;
musique pour enfants;Not_assignable;;;
norwegian hip hop;Rap and Hip-Hop;;;
world meditation;World;;;
psychedelic doom;Heavy Metal;;;
industrial hip hop;Rap and Hip-Hop;;;
birmingham grime;Dance Music, Techno and House;;;
turkish instrumental;Utility;;;
darksynth;Rock;;;
singaporean singer-songwriter;Not_assignable;;;
theme;Not_assignable;;;
indiana hip hop;Rap and Hip-Hop;;;
bergamo indie;Pop;;;
post-doom metal;Heavy Metal;;;
ghanaian hip hop;Rap and Hip-Hop;;;
final fantasy;Not_assignable;;;
samba-rock;Rock;;;
hungarian rock;Rock;;;
bboy;Rap and Hip-Hop;;;
oc rap;Rap and Hip-Hop;;;
experimental rock;Rock;;;
australian r&b;R&B;;;
dark techno;Dance Music, Techno and House;;;
thai rock;Rock;;;
gabba;Dance Music, Techno and House;;;
magyar alternative;Not_assignable;;;
riot grrrl;Rock;;;
sound team;Not_assignable;;;
kurdish pop;Pop;;;
swedish country;Country;;;
classic malaysian pop;Pop;;;
romantico;Not_assignable;;;
bassline;Not_assignable;;;
deep latin christian;Utility;;;
deutschrock;Rock;;;
classic house;Dance Music, Techno and House;;;
techno;Dance Music, Techno and House;;;
chiptune;Dance Music, Techno and House;;;
thai hip hop;Rap and Hip-Hop;;;
symphonic power metal;Heavy Metal;;;
musica andina;Utility;;;
mizrahi;Utility;;;
disco polo;Dance Music, Techno and House;;;
northern irish indie;Pop;;;
technical death metal;Heavy Metal;;;
guaracha;Latin American music;;;
danseband;Pop;;;
indie viet;Pop;;;
classic belgian pop;Pop;;;
dark post-punk;Rock;;;
anime piano;Not_assignable;;;
chill beats;Lo-Fi;;;
chinese r&b;R&B;;;
texas metal;Heavy Metal;;;
trap beats;Rap and Hip-Hop;;;
italian lounge;Lo-Fi;;;
chill lounge;Lo-Fi;;;
buffalo hip hop;Rap and Hip-Hop;;;
swedish americana;Not_assignable;;;
experimental r&b;R&B;;;
nightrun;Not_assignable;;;
australian singer-songwriter;Not_assignable;;;
texas latin rap;Rap and Hip-Hop;;;
nederlandse hardstyle;Dance Music, Techno and House;;;
romanian trap;Rap and Hip-Hop;;;
easycore;Rock;;;
trap colombiano;Rap and Hip-Hop;;;
samba-jazz;Jazz;;;
classic colombian pop;Pop;;;
contemporary gospel;Utility;;;
new weird america;Folk;;;
new comedy;Not_assignable;;;
classic arab pop;Pop;;;
belarusian indie;Pop;;;
barnemusikk;Not_assignable;;;
souldies;Not_assignable;;;
spanish folk metal;Heavy Metal;;;
electro-industrial;Industrial and Gothic;;;
kizomba;Utility;;;
malaysian mandopop;Pop;;;
japanese vtuber;Not_assignable;;;
hard alternative;Not_assignable;;;
melodic techno;Dance Music, Techno and House;;;
latin classical;Latin American music;;;
lo-fi house;Lo-Fi;;;
monterrey indie;Pop;;;
freestyle;Not_assignable;;;
neue deutsche welle;Pop;;;
egyptian hip hop;Rap and Hip-Hop;;;
chamame;Folk;;;
amapiano;Dance Music, Techno and House;;;
classic iskelma;Utility;;;
vintage italian soundtrack;Not_assignable;;;
swiss pop;Pop;;;
classic peruvian pop;Pop;;;
swedish dancehall;Reggae;;;
chinese idol pop;Pop;;;
jewish pop;Pop;;;
nashville indie;Pop;;;
punk 'n' roll;Rock;;;
trap antillais;Rap and Hip-Hop;;;
new jersey hardcore;Not_assignable;;;
emo rap italiano;Rap and Hip-Hop;;;
ukg revival;Dance Music, Techno and House;;;
asbury park indie;Pop;;;
ebm;Dance Music, Techno and House;;;
modern ska punk;Rock;;;
samba reggae;Reggae;;;
louvor;Utility;;;
japanese pop rap;Rap and Hip-Hop;;;
brega romantico;Not_assignable;;;
neo-progressive;Rock;;;
metallic hardcore;Rock;;;
ukrainian rock;Rock;;;
mambo;Latin American music;;;
dutch metal;Heavy Metal;;;
jungle;Dance Music, Techno and House;;;
classic finnish pop;Pop;;;
spanish modern rock;Rock;;;
country gospel;Utility;;;
khaliji;Utility;;;
acoustic punk;Rock;;;
frenchcore;Dance Music, Techno and House;;;
russian folk rock;Rock;;;
russian viral rap;Rap and Hip-Hop;;;
rap montrealais;Rap and Hip-Hop;;;
nordic soundtrack;Not_assignable;;;
belly dance;Utility;;;
idol kayo;Utility;;;
bulgarian pop;Pop;;;
volkspop;Pop;;;
japanese alternative pop;Pop;;;
swancore;Rock;;;
rap baixada fluminense;Rap and Hip-Hop;;;
classic finnish rock;Rock;;;
lesen;Not_assignable;;;
irish hip hop;Rap and Hip-Hop;;;
indian lo-fi;Lo-Fi;;;
dansktop;Utility;;;
japanese jazz fusion;Jazz;;;
atlanta metal;Heavy Metal;;;
traditional country;Country;;;
r&b italiano;R&B;;;
portland indie;Pop;;;
russian alternative rock;Rock;;;
reggae tuga;Reggae;;;
laboratorio;Not_assignable;;;
minneapolis indie;Pop;;;
german metalcore;Heavy Metal;;;
afrikaans;Utility;;;
italian soundtrack;Not_assignable;;;
latinx alternative;Not_assignable;;;
rap lyonnais;Rap and Hip-Hop;;;
toronto indie;Pop;;;
bristol indie;Pop;;;
rock independant francais;Rock;;;
mexican edm;Dance Music, Techno and House;;;
partido alto;Latin American music;;;
chicago house;Dance Music, Techno and House;;;
digital hardcore;Not_assignable;;;
new jersey underground rap;Rap and Hip-Hop;;;
swedish melodic rock;Rock;;;
popping;Rap and Hip-Hop;;;
mathcore;Rock;;;
uk contemporary jazz;Jazz;;;
neomelodici;Utility;;;
leicester indie;Pop;;;
tagalog worship;Utility;;;
country blues;Jazz;;;
musica para criancas;Not_assignable;;;
argentine punk;Rock;;;
naija worship;Utility;;;
chinese singer-songwriter;Not_assignable;;;
spanish noise pop;Pop;;;
classic thai pop;Pop;;;
uk garage;Dance Music, Techno and House;;;
finnish heavy metal;Heavy Metal;;;
colombian indie;Pop;;;
huzunlu sarkilar;Not_assignable;;;
glam punk;Rock;;;
east coast reggae;Reggae;;;
alabama indie;Pop;;;
progressive psytrance;Dance Music, Techno and House;;;
hungarian hip hop;Rap and Hip-Hop;;;
swedish reggae;Reggae;;;
vocal harmony group;Not_assignable;;;
latintronica;Latin American music;;;
adoracion;Utility;;;
rap anime;Rap and Hip-Hop;;;
neoclassicism;Classical;;;
swedish eurodance;Dance Music, Techno and House;;;
irish country;Country;;;
bakersfield sound;Country;;;
folclore salteno;Utility;;;
pop teen brasileiro;Pop;;;
classical tenor;Classical;;;
louisiana blues;Jazz;;;
latin funk;R&B;;;
slc indie;Pop;;;
arab trap;Rap and Hip-Hop;;;
tecnobrega;Dance Music, Techno and House;;;
orgcore;Rock;;;
croatian pop;Pop;;;
hawaiian;Not_assignable;;;
world devotional;Not_assignable;;;
progressive deathcore;Heavy Metal;;;
j-indie;Pop;;;
japanese pop punk;Rock;;;
brain waves;Not_assignable;;;
acoustic blues;Jazz;;;
german viral rap;Rap and Hip-Hop;;;
progressive jazz fusion;Jazz;;;
indonesian city pop;Pop;;;
venezuelan rock;Rock;;;
cologne hip hop;Rap and Hip-Hop;;;
denpa-kei;Dance Music, Techno and House;;;
seiyu;Not_assignable;;;
chinderlieder;Not_assignable;;;
uzbek pop;Pop;;;
japanese old school hip hop;Rap and Hip-Hop;;;
malaysian indie;Pop;;;
newcastle nsw indie;Pop;;;
hurdy-gurdy;Classical;;;
soulful house;Dance Music, Techno and House;;;
boston indie;Pop;;;
cello;Not_assignable;;;
