Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Shape of You;Ed Sheeran;6815498;2017-04-01;;2017;4;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Passionfruit;Drake;4235699;2017-04-01;;2017;4;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
3;It Ain't Me (with Selena Gomez);Kygo;4102670;2017-04-01;;2017;4;1;4;tropical house;pop dance;pop;edm;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Something Just Like This;The Chainsmokers;3890316;2017-04-01;;2017;4;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Despacito (Featuring Daddy Yankee);Luis Fonsi;3456893;2017-04-01;;2017;4;1;3;puerto rican pop;latin;latin pop;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
6;That's What I Like;Bruno Mars;3419965;2017-04-01;;2017;4;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Stay (with Alessia Cara);Zedd;3312387;2017-04-01;electropop;2017;4;1;10;pop;dance pop;edm;pop dance;german techno;complextro;post-teen pop;tropical house;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Mask Off;Future;3235648;2017-04-01;;2017;4;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
9;Galway Girl;Ed Sheeran;3226585;2017-04-01;;2017;4;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;HUMBLE.;Kendrick Lamar;3135995;2017-04-01;;2017;4;1;4;rap;conscious hip hop;west coast rap;hip hop;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
11;Paris;The Chainsmokers;2836996;2017-04-01;;2017;4;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;Symphony (feat. Zara Larsson);Clean Bandit;2762652;2017-04-01;;2017;4;1;8;pop;uk dance;dance pop;uk funky;tropical house;pop dance;post-teen pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Scared to Be Lonely;Martin Garrix;2662953;2017-04-01;;2017;4;1;7;dutch edm;pop dance;edm;tropical house;pop;progressive house;dance pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Slide (feat. Frank Ocean & Migos);Calvin Harris;2634882;2017-04-01;;2017;4;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;2577384;2017-04-01;;2017;4;1;4;pop;post-teen pop;uk pop;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;Issues;Julia Michaels;2443119;2017-04-01;;2017;4;1;5;pop;post-teen pop;alt z;dance pop;electropop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;You Don't Know Me - Radio Edit;Jax Jones;2268385;2017-04-01;electro house;2017;4;1;10;pop dance;uk dance;tropical house;dance pop;pop;house;edm;pop rap;post-teen pop;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;2218780;2017-04-01;;2017;4;1;8;pop;uk dance;dance pop;uk funky;tropical house;pop dance;post-teen pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;Chained To The Rhythm;Katy Perry;2133107;2017-04-01;;2017;4;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Castle on the Hill;Ed Sheeran;2123358;2017-04-01;;2017;4;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;Cold;Maroon 5;2108765;2017-04-01;;2017;4;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
22;Believer;Imagine Dragons;2054680;2017-04-01;;2017;4;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
23;Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;2053991;2017-04-01;;2017;4;1;4;dance pop;pop;post-teen pop;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;iSpy (feat. Lil Yachty);KYLE;1995877;2017-04-01;;2017;4;1;3;pop rap;rap;social media pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
25;Portland;Drake;1985911;2017-04-01;;2017;4;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
26;I Feel It Coming;The Weeknd;1905112;2017-04-01;;2017;4;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
27;Call On Me - Ryan Riback Extended Remix;Starley;1866038;2017-04-01;;2017;4;1;3;aussietronica;tropical house;pop dance;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Closer;The Chainsmokers;1802792;2017-04-01;;2017;4;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
29;SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);Enrique Iglesias;1755565;2017-04-01;;2017;4;1;5;mexican pop;latin pop;dance pop;latin;pop;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
30;Solo Dance;Martin Jensen;1749037;2017-04-01;;2017;4;1;9;tropical house;pop dance;danish electronic;edm;dance pop;pop edm;deep house;pop;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
31;Blem;Drake;1685236;2017-04-01;;2017;4;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
32;Perfect;Ed Sheeran;1661692;2017-04-01;;2017;4;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;Starboy;The Weeknd;1633994;2017-04-01;;2017;4;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
34;Fake Love;Drake;1630541;2017-04-01;;2017;4;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
35;Chantaje (feat. Maluma);Shakira;1619106;2017-04-01;;2017;4;1;5;colombian pop;dance pop;latin pop;pop;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
36;"How Far I'll Go - From ""Moana""";Alessia Cara;1596486;2017-04-01;;2017;4;1;6;pop;post-teen pop;canadian pop;canadian contemporary r&b;dance pop;electropop;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
37;Tunnel Vision;Kodak Black;1582469;2017-04-01;;2017;4;1;7;melodic rap;rap;miami hip hop;florida rap;trap;southern hip hop;hip hop;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
38;Green Light;Lorde;1577402;2017-04-01;;2017;4;1;7;pop;nz pop;metropopolis;post-teen pop;electropop;art pop;dance pop;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
39;El Amante;Nicky Jam;1568266;2017-04-01;;2017;4;1;4;latin;reggaeton;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
40;Run Up (feat. PARTYNEXTDOOR & Nicki Minaj);Major Lazer;1564664;2017-04-01;;2017;4;1;7;moombahton;pop;edm;dance pop;pop dance;pop rap;electro house;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
41;Say You Won't Let Go;James Arthur;1564633;2017-04-01;;2017;4;1;4;pop;uk pop;talent show;post-teen pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
42;Happier;Ed Sheeran;1523919;2017-04-01;;2017;4;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;Congratulations;Post Malone;1484182;2017-04-01;;2017;4;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;Location;Khalid;1455825;2017-04-01;;2017;4;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
45;Gyalchester;Drake;1416035;2017-04-01;;2017;4;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
46;Selfish (feat. Rihanna);Future;1401141;2017-04-01;;2017;4;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
47;Weak;AJR;1392404;2017-04-01;;2017;4;1;2;modern rock;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
48;Me Rehúso;Danny Ocean;1373123;2017-04-01;;2017;4;1;5;pop venezolano;reggaeton;trap latino;latin;latin pop;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
49;Still Got Time (feat. PARTYNEXTDOOR);ZAYN;1340318;2017-04-01;;2017;4;1;4;pop;post-teen pop;uk pop;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
