Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;positions;Ariana Grande;5102504;2020-11-01;;2020;11;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Mood (feat. iann dior);24kGoldn;4565504;2020-11-01;;2020;11;1;1;cali rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;DÁKITI;Bad Bunny;4274780;2020-11-01;;2020;11;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;3724253;2020-11-01;;2020;11;1;3;trap;rap;pop rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
5;34+35;Ariana Grande;3242620;2020-11-01;;2020;11;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Hawái;Maluma;3179992;2020-11-01;;2020;11;1;3;reggaeton colombiano;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7;WAP (feat. Megan Thee Stallion);Cardi B;3133269;2020-11-01;;2020;11;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
8;Dynamite;BTS;3098232;2020-11-01;;2020;11;1;2;k-pop boy group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Blinding Lights;The Weeknd;3027286;2020-11-01;;2020;11;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
10;What You Know Bout Love;Pop Smoke;3002308;2020-11-01;;2020;11;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
11;Lonely (with benny blanco);Justin Bieber;2765449;2020-11-01;;2020;11;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;2567915;2020-11-01;;2020;11;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13;Holy (feat. Chance The Rapper);Justin Bieber;2492288;2020-11-01;;2020;11;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Watermelon Sugar;Harry Styles;2449904;2020-11-01;;2020;11;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;you broke me first;Tate McRae;2305724;2020-11-01;;2020;11;1;5;pop;alt z;post-teen pop;electropop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;motive (with Doja Cat);Ariana Grande;2300515;2020-11-01;;2020;11;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Head & Heart (feat. MNEK);Joel Corry;2234770;2020-11-01;;2020;11;1;5;uk dance;pop dance;tropical house;dance pop;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Relación - Remix;Sech;2232523;2020-11-01;;2020;11;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
