Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;I Love It (& Lil Pump);Kanye West;4137192;2018-10-01;;2018;10;1;2;chicago rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;4072897;2018-10-01;;2018;10;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
3;Happier;Marshmello;3794770;2018-10-01;;2018;10;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Mona Lisa (feat. Kendrick Lamar);Lil Wayne;3597191;2018-10-01;;2018;10;1;5;rap;pop rap;new orleans rap;trap;hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
5;Falling Down - Bonus Track;Lil Peep;3509916;2018-10-01;;2018;10;1;2;lgbtq+ hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;Eastside (with Halsey & Khalid);benny blanco;2955135;2018-10-01;;2018;10;1;4;pop;pop rap;electropop;pop dance;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Promises (with Sam Smith);Calvin Harris;2938398;2018-10-01;;2018;10;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Don't Cry (feat. XXXTENTACION);Lil Wayne;2750278;2018-10-01;;2018;10;1;5;rap;pop rap;new orleans rap;trap;hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
9;In My Mind;Dynoro;2746288;2018-10-01;;2018;10;1;4;pop dance;edm;tropical house;electro house;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;In My Feelings;Drake;2624572;2018-10-01;;2018;10;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
11;SICKO MODE;Travis Scott;2492502;2018-10-01;;2018;10;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12;Lucid Dreams;Juice WRLD;2418007;2018-10-01;;2018;10;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13;Better;Khalid;2336665;2018-10-01;;2018;10;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Lucky You (feat. Joyner Lucas);Eminem;2304759;2018-10-01;;2018;10;1;3;detroit hip hop;rap;hip hop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;Be Alright;Dean Lewis;2289741;2018-10-01;;2018;10;1;5;indie cafe pop;pop;australian pop;pop rock;post-teen pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
16;Let It Fly (feat. Travis Scott);Lil Wayne;2227931;2018-10-01;;2018;10;1;5;rap;pop rap;new orleans rap;trap;hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
17;Girls Like You (feat. Cardi B);Maroon 5;2225510;2018-10-01;;2018;10;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
18;Electricity (with Dua Lipa);Silk City;2200627;2018-10-01;;2018;10;1;5;pop dance;tropical house;house;edm;dance pop;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;SAD!;XXXTENTACION;2106991;2018-10-01;;2018;10;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20;Uproar;Lil Wayne;2102640;2018-10-01;;2018;10;1;5;rap;pop rap;new orleans rap;trap;hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
