Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;God's Plan;Drake;7572795;2018-03-01;;2018;3;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2;Psycho (feat. Ty Dolla $ign);Post Malone;5999224;2018-03-01;;2018;3;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;All The Stars (with SZA);Kendrick Lamar;4293519;2018-03-01;;2018;3;1;4;rap;conscious hip hop;west coast rap;hip hop;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;IDGAF;Dua Lipa;3334232;2018-03-01;;2018;3;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Mine;Bazzi;3284281;2018-03-01;;2018;3;1;5;pop;post-teen pop;dance pop;electropop;pop rap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;FRIENDS;Marshmello;3046692;2018-03-01;;2018;3;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Look Alive (feat. Drake);BlocBoy JB;3042293;2018-03-01;;2018;3;1;6;tennessee hip hop;memphis hip hop;trap;vapor trap;southern hip hop;rap;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;Pray For Me (with Kendrick Lamar);The Weeknd;3011079;2018-03-01;;2018;3;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
9;rockstar;Post Malone;2891782;2018-03-01;;2018;3;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;The Middle;Zedd;2867020;2018-03-01;electropop;2018;3;1;10;pop;dance pop;edm;pop dance;german techno;complextro;post-teen pop;tropical house;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Amorfoda;Bad Bunny;2626086;2018-03-01;;2018;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
12;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Rudimental;2617967;2018-03-01;;2018;3;1;8;uk dance;uk funky;tropical house;pop dance;dance pop;house;pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Love Lies (with Normani);Khalid;2611685;2018-03-01;;2018;3;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Havana (feat. Young Thug);Camila Cabello;2535561;2018-03-01;;2018;3;1;4;pop;post-teen pop;dance pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Dura;Daddy Yankee;2526399;2018-03-01;;2018;3;1;4;reggaeton;latin;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
16;River (feat. Ed Sheeran);Eminem;2186882;2018-03-01;;2018;3;1;3;detroit hip hop;rap;hip hop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17;Stir Fry;Migos;2160608;2018-03-01;;2018;3;1;4;rap;atl hip hop;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
18;"Finesse - Remix; feat. Cardi B";Bruno Mars;2112450;2018-03-01;;2018;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;Never Be the Same;Camila Cabello;2060801;2018-03-01;;2018;3;1;4;pop;post-teen pop;dance pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Meant to Be (feat. Florida Georgia Line);Bebe Rexha;2060665;2018-03-01;;2018;3;1;4;pop;dance pop;post-teen pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;Échame La Culpa;Luis Fonsi;2031339;2018-03-01;;2018;3;1;3;puerto rican pop;latin;latin pop;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
22;I Fall Apart;Post Malone;2003396;2018-03-01;;2018;3;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;New Rules;Dua Lipa;1941036;2018-03-01;;2018;3;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;Sick Boy;The Chainsmokers;1920261;2018-03-01;;2018;3;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Wolves;Selena Gomez;1861653;2018-03-01;;2018;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;For You (Fifty Shades Freed) (& Rita Ora);Liam Payne;1842485;2018-03-01;;2018;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
27;Perfect;Ed Sheeran;1835597;2018-03-01;;2018;3;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
28;King's Dead (with Kendrick Lamar, Future & James Blake);Jay Rock;1775992;2018-03-01;;2018;3;1;8;rap;conscious hip hop;hip hop;southern hip hop;trap;pop rap;underground hip hop;gangster rap;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
29;Him & I (with Halsey);G-Eazy;1767972;2018-03-01;;2018;3;1;5;indie pop rap;oakland hip hop;pop rap;rap;hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
30;Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;1726368;2018-03-01;;2018;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
31;Bella;Wolfine;1719075;2018-03-01;;2018;3;1;4;colombian pop;reggaeton;trap latino;reggaeton flow;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
32;Let You Down;NF;1704198;2018-03-01;;2018;3;1;3;pop rap;rap;hip hop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
33;Capital Letters;Hailee Steinfeld;1653032;2018-03-01;;2018;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
