Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;I Don't Care (with Justin Bieber);Ed Sheeran;5899834;2019-06-01;;2019;6;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;bad guy;Billie Eilish;5544512;2019-06-01;;2019;6;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Old Town Road (feat. Billy Ray Cyrus) - Remix;Lil Nas X;5132472;2019-06-01;;2019;6;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
4;Otro Trago;Sech;3638864;2019-06-01;;2019;6;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
5;Old Town Road;Lil Nas X;3350200;2019-06-01;;2019;6;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6;If I Can't Have You;Shawn Mendes;3277309;2019-06-01;;2019;6;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Con Calma;Daddy Yankee;2915925;2019-06-01;;2019;6;1;4;reggaeton;latin;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
8;Soltera - Remix;Lunay;2901602;2019-06-01;;2019;6;1;5;trap latino;reggaeton;latin;reggaeton flow;latin pop;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
9;Someone You Loved;Lewis Capaldi;2755407;2019-06-01;;2019;6;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;2674072;2019-06-01;;2019;6;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
11;The London (feat. J. Cole & Travis Scott);Young Thug;2641289;2019-06-01;;2019;6;1;8;rap;melodic rap;trap;atl hip hop;atl trap;pop rap;hip hop;gangster rap;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
12;Sucker;Jonas Brothers;2531647;2019-06-01;;2019;6;1;5;post-teen pop;pop;boy band;dance pop;pop rock;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
13;SOS;Avicii;2530764;2019-06-01;;2019;6;1;4;edm;pop dance;pop;dance pop;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Never Really Over;Katy Perry;2468943;2019-06-01;;2019;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;EARFQUAKE;Tyler, The Creator;2385746;2019-06-01;;2019;6;1;2;rap;hip hop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16;7 rings;Ariana Grande;2275999;2019-06-01;;2019;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;2260939;2019-06-01;;2019;6;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy);Martin Garrix;2068149;2019-06-01;;2019;6;1;7;dutch edm;pop dance;edm;tropical house;pop;progressive house;dance pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;ME! (feat. Brendon Urie of Panic! At The Disco);Taylor Swift;2007176;2019-06-01;;2019;6;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Talk (feat. Disclosure);Khalid;1997456;2019-06-01;;2019;6;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;Truth Hurts;Lizzo;1991547;2019-06-01;;2019;6;1;7;minnesota hip hop;pop;trap queen;pop rap;escape room;dance pop;post-teen pop;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
22;Mother's Daughter;Miley Cyrus;1972916;2019-06-01;;2019;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;Shallow;Lady Gaga;1967048;2019-06-01;;2019;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;Don't Call Me Up;Mabel;1932537;2019-06-01;;2019;6;1;7;uk pop;pop;dance pop;post-teen pop;pop dance;tropical house;edm;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Piece Of Your Heart;MEDUZA;1863692;2019-06-01;;2019;6;1;5;pop house;pop dance;tropical house;edm;dance pop;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;Tal Vez;Paulo Londra;1855858;2019-06-01;;2019;6;1;3;argentine hip hop;trap argentino;trap latino;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
27;Calma - Remix;Pedro Capó;1847467;2019-06-01;;2019;6;1;3;puerto rican pop;latin pop;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
28;Pa Mí - Remix;Dalex;1831038;2019-06-01;;2019;6;1;4;r&b en espanol;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
29;Wow.;Post Malone;1809736;2019-06-01;;2019;6;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
30;Te Robaré;Nicky Jam;1805578;2019-06-01;;2019;6;1;4;latin;reggaeton;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
31;Verte Ir;DJ Luian;1765033;2019-06-01;;2019;6;1;5;trap latino;reggaeton flow;reggaeton;latin hip hop;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
