Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Starboy;The Weeknd;3135625;2017-01-01;;2017;1;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2;Closer;The Chainsmokers;3015525;2017-01-01;;2017;1;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Let Me Love You;DJ Snake;2545384;2017-01-01;;2017;1;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
4;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;2356604;2017-01-01;;2017;1;1;8;pop;uk dance;dance pop;uk funky;tropical house;pop dance;post-teen pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;One Dance;Drake;2259887;2017-01-01;;2017;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6;Fake Love;Drake;2137437;2017-01-01;;2017;1;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
7;24K Magic;Bruno Mars;2111599;2017-01-01;;2017;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Don't Wanna Know;Maroon 5;2107137;2017-01-01;;2017;1;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
9;Black Beatles;Rae Sremmurd;2075732;2017-01-01;;2017;1;1;7;rap;mississippi hip hop;melodic rap;trap;pop rap;southern hip hop;hip hop;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
10;I Feel It Coming;The Weeknd;1949575;2017-01-01;;2017;1;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
11;Chantaje (feat. Maluma);Shakira;1893214;2017-01-01;;2017;1;1;5;colombian pop;dance pop;latin pop;pop;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
12;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;1857252;2017-01-01;;2017;1;1;4;pop;post-teen pop;uk pop;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Say You Won't Let Go;James Arthur;1812335;2017-01-01;;2017;1;1;4;pop;uk pop;talent show;post-teen pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Bad and Boujee (feat. Lil Uzi Vert);Migos;1801707;2017-01-01;;2017;1;1;4;rap;atl hip hop;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
15;Cold Water (feat. Justin Bieber & MØ);Major Lazer;1731191;2017-01-01;;2017;1;1;7;moombahton;pop;edm;dance pop;pop dance;pop rap;electro house;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;In the Name of Love;Martin Garrix;1647944;2017-01-01;;2017;1;1;7;dutch edm;pop dance;edm;tropical house;pop;progressive house;dance pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Side To Side;Ariana Grande;1527676;2017-01-01;;2017;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Call On Me - Ryan Riback Extended Remix;Starley;1507320;2017-01-01;;2017;1;1;3;aussietronica;tropical house;pop dance;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;1480601;2017-01-01;;2017;1;1;2;dance pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Don't Let Me Down (feat. Daya);The Chainsmokers;1438471;2017-01-01;;2017;1;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;Treat You Better;Shawn Mendes;1409430;2017-01-01;;2017;1;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;Just Hold On;Steve Aoki;1375005;2017-01-01;;2017;1;1;6;edm;pop dance;electro house;tropical house;dance pop;pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;My Way;Calvin Harris;1341827;2017-01-01;;2017;1;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;Starving;Hailee Steinfeld;1338596;2017-01-01;;2017;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Bad Things (with Camila Cabello);Machine Gun Kelly;1257334;2017-01-01;;2017;1;1;2;ohio hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
26;Heathens;Twenty One Pilots;1255839;2017-01-01;;2017;1;1;2;modern rock;rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
