Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Blinding Lights;The Weeknd;5465968;2020-03-01;;2020;3;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2;The Box;Roddy Ricch;5203730;2020-03-01;;2020;3;1;3;melodic rap;rap;trap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;Dance Monkey;Tones And I;5100257;2020-03-01;;2020;3;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Don't Start Now;Dua Lipa;4339547;2020-03-01;;2020;3;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Ignorantes;Bad Bunny;4101396;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;La Difícil;Bad Bunny;4007264;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7;Intentions (feat. Quavo);Justin Bieber;3749540;2020-03-01;;2020;3;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Tusa;KAROL G;3748345;2020-03-01;;2020;3;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;Si Veo a Tu Mamá;Bad Bunny;3698610;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;Falling;Trevor Daniel;3418555;2020-03-01;;2020;3;1;3;melodic rap;pop rap;alternative r&b;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
11;ROXANNE;Arizona Zervas;3348534;2020-03-01;;2020;3;1;2;rhode island rap;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
12;Say So;Doja Cat;3341662;2020-03-01;;2020;3;1;2;pop;dance pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;La Santa;Bad Bunny;3208476;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
14;Vete;Bad Bunny;3118595;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15;Stupid Love;Lady Gaga;2857511;2020-03-01;;2020;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;Yummy;Justin Bieber;2633019;2020-03-01;;2020;3;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;No Time To Die;Billie Eilish;2609303;2020-03-01;;2020;3;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Pero Ya No;Bad Bunny;2573848;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
19;Circles;Post Malone;2570110;2020-03-01;;2020;3;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20;Life Is Good (feat. Drake);Future;2567783;2020-03-01;;2020;3;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
21;Someone You Loved;Lewis Capaldi;2525297;2020-03-01;;2020;3;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;everything i wanted;Billie Eilish;2419064;2020-03-01;;2020;3;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;Memories;Maroon 5;2388214;2020-03-01;;2020;3;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
24;Yo Perreo Sola;Bad Bunny;2305555;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
25;Sunday Best;Surfaces;2264620;2020-03-01;;2020;3;1;2;bedroom soul;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
26;Godzilla (feat. Juice WRLD);Eminem;2234398;2020-03-01;;2020;3;1;3;detroit hip hop;rap;hip hop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;Adore You;Harry Styles;2163580;2020-03-01;;2020;3;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
28;After Hours;The Weeknd;2142551;2020-03-01;;2020;3;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
29;Blueberry Faygo;Lil Mosey;2132785;2020-03-01;;2020;3;1;5;melodic rap;rap conscient;vapor trap;trap;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
30;bad guy;Billie Eilish;2103870;2020-03-01;;2020;3;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
31;Roses - Imanbek Remix;SAINt JHN;2064108;2020-03-01;;2020;3;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
32;Bichiyal;Bad Bunny;1997788;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
33;Soliá;Bad Bunny;1981580;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
34;Safaera;Bad Bunny;1956704;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35;Señorita;Shawn Mendes;1940167;2020-03-01;;2020;3;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
36;death bed (coffee for your head);Powfu;1927461;2020-03-01;;2020;3;1;1;sad rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
37;Before You Go;Lewis Capaldi;1916900;2020-03-01;;2020;3;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
38;You should be sad;Halsey;1872495;2020-03-01;;2020;3;1;6;pop;etherpop;post-teen pop;electropop;dance pop;indie poptimism;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
39;RITMO (Bad Boys For Life);Black Eyed Peas;1854196;2020-03-01;;2020;3;1;3;dance pop;pop rap;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
40;Sigues Con El;Dímelo Flow;1841916;2020-03-01;;2020;3;1;5;trap latino;perreo;reggaeton flow;reggaeton;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
41;My Oh My (feat. DaBaby);Camila Cabello;1810244;2020-03-01;;2020;3;1;4;pop;post-teen pop;dance pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
42;Está Cabrón Ser Yo;Bad Bunny;1794862;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
43;René;Residente;1784206;2020-03-01;;2020;3;1;1;venezuelan hip hop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;Morado;J Balvin;1781822;2020-03-01;;2020;3;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
45;Physical;Dua Lipa;1765878;2020-03-01;;2020;3;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
46;Rojo;J Balvin;1756041;2020-03-01;;2020;3;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
47;Que Malo;Bad Bunny;1743104;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
48;A Tu Merced;Bad Bunny;1737134;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
49;Moral of the Story;Ashe;1734400;2020-03-01;;2020;3;1;5;pop;alt z;electropop;post-teen pop;indie pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
50;La Zona;Bad Bunny;1714128;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
51;<3;Bad Bunny;1654204;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52;25/8;Bad Bunny;1649429;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
53;High Fashion (feat. Mustard);Roddy Ricch;1599757;2020-03-01;;2020;3;1;3;melodic rap;rap;trap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
54;Una Vez;Bad Bunny;1565745;2020-03-01;;2020;3;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
55;Lose Control;MEDUZA;1551328;2020-03-01;;2020;3;1;5;pop house;pop dance;tropical house;edm;dance pop;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
