Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;5766438;2018-11-01;;2018;11;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
2;MIA (feat. Drake);Bad Bunny;4122032;2018-11-01;;2018;11;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;Happier;Marshmello;3546770;2018-11-01;;2018;11;1;5;brostep;pop;progressive electro house;pop dance;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;3436862;2018-11-01;;2018;11;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;Arms Around You (feat. Maluma & Swae Lee);XXXTENTACION;3286601;2018-11-01;;2018;11;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;Shallow;Lady Gaga;3238783;2018-11-01;;2018;11;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;ZEZE (feat. Travis Scott & Offset);Kodak Black;3034135;2018-11-01;;2018;11;1;7;melodic rap;rap;miami hip hop;florida rap;trap;southern hip hop;hip hop;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;Without Me;Halsey;2987187;2018-11-01;;2018;11;1;6;pop;etherpop;post-teen pop;electropop;dance pop;indie poptimism;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
9;SICKO MODE;Travis Scott;2818819;2018-11-01;;2018;11;1;2;slap house;rap;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;Better;Khalid;2510983;2018-11-01;;2018;11;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Mo Bamba;Sheck Wes;2401566;2018-11-01;;2018;11;1;4;vapor trap;underground hip hop;trap;rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12;Promises (with Sam Smith);Calvin Harris;2220766;2018-11-01;;2018;11;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Eastside (with Halsey & Khalid);benny blanco;2200415;2018-11-01;;2018;11;1;4;pop;pop rap;electropop;pop dance;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Girls Like You (feat. Cardi B);Maroon 5;2194245;2018-11-01;;2018;11;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
15;when the party's over;Billie Eilish;2175327;2018-11-01;;2018;11;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;In My Mind;Dynoro;2128272;2018-11-01;;2018;11;1;4;pop dance;edm;tropical house;electro house;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Lucid Dreams;Juice WRLD;2056067;2018-11-01;;2018;11;1;2;melodic rap;chicago rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;Be Alright;Dean Lewis;2021732;2018-11-01;;2018;11;1;5;indie cafe pop;pop;australian pop;pop rock;post-teen pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
19;Kiss and Make Up;Dua Lipa;1983913;2018-11-01;;2018;11;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Drip Too Hard (Lil Baby & Gunna);Lil Baby;1978075;2018-11-01;;2018;11;1;4;atl trap;atl hip hop;rap;trap;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;I Love It (& Lil Pump);Kanye West;1945829;2018-11-01;;2018;11;1;2;chicago rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22;Falling Down - Bonus Track;Lil Peep;1929647;2018-11-01;;2018;11;1;2;lgbtq+ hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;SAD!;XXXTENTACION;1895700;2018-11-01;;2018;11;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24;Woman Like Me (feat. Nicki Minaj);Little Mix;1867426;2018-11-01;;2018;11;1;6;talent show;pop;girl group;post-teen pop;uk pop;dance pop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Better Now;Post Malone;1820137;2018-11-01;;2018;11;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26;In My Feelings;Drake;1818113;2018-11-01;;2018;11;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
27;Moonlight;XXXTENTACION;1752299;2018-11-01;;2018;11;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;Vaina Loca;Ozuna;1729033;2018-11-01;;2018;11;1;4;puerto rican pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
29;Sweet but Psycho;Ava Max;1711909;2018-11-01;;2018;11;1;3;pop;dance pop;post-teen pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;Let You Love Me;Rita Ora;1710482;2018-11-01;;2018;11;1;9;dance pop;pop;uk pop;post-teen pop;australian pop;tropical house;edm;electropop;pop rap;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
31;BEBE;6ix9ine;1666976;2018-11-01;;2018;11;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;I Like It;Cardi B;1614296;2018-11-01;;2018;11;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
33;Taste (feat. Offset);Tyga;1547824;2018-11-01;;2018;11;1;6;pop rap;rap;southern hip hop;trap;hip hop;dance pop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
34;No Stylist (feat. Drake);French Montana;1514302;2018-11-01;;2018;11;1;6;rap;trap;pop rap;southern hip hop;hip hop;gangster rap;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
35;Natural;Imagine Dragons;1467767;2018-11-01;;2018;11;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
36;Te Boté - Remix;Nio Garcia;1465049;2018-11-01;;2018;11;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
37;Youngblood;5 Seconds of Summer;1450408;2018-11-01;;2018;11;1;5;pop;boy band;post-teen pop;dance pop;electropop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
38;Electricity (with Dua Lipa);Silk City;1446227;2018-11-01;;2018;11;1;5;pop dance;tropical house;house;edm;dance pop;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
39;rockstar (feat. 21 Savage);Post Malone;1440953;2018-11-01;;2018;11;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
40;FEFE (feat. Nicki Minaj & Murda Beatz);6ix9ine;1421282;2018-11-01;;2018;11;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
41;Quiere Beber;Anuel AA;1365839;2018-11-01;;2018;11;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
42;Beautiful (feat. Camila Cabello);Bazzi;1356403;2018-11-01;;2018;11;1;5;pop;post-teen pop;dance pop;electropop;pop rap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;Suncity (feat. Empress Of);Khalid;1354710;2018-11-01;;2018;11;1;1;pop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
44;Fine China;Future;1349192;2018-11-01;;2018;11;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
45;High Hopes;Panic! At The Disco;1337857;2018-11-01;;2018;11;1;3;baroque pop;emo;modern rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
46;Always Remember Us This Way;Lady Gaga;1334190;2018-11-01;;2018;11;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
47;Nonstop;Drake;1325453;2018-11-01;;2018;11;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
48;Ruin My Life;Zara Larsson;1312506;2018-11-01;edm;2018;11;1;10;pop;scandipop;dance pop;swedish electropop;post-teen pop;tropical house;swedish pop;pop dance;electropop;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
49;Cuando Te Besé;Becky G;1308417;2018-11-01;;2018;11;1;8;rap latina;latin viral pop;reggaeton;latin pop;trap latino;pop;dance pop;latin;;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
50;Jocelyn Flores;XXXTENTACION;1295471;2018-11-01;;2018;11;1;2;miami hip hop;emo rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
51;Wake Up in the Sky;Gucci Mane;1295405;2018-11-01;;2018;11;1;8;rap;trap;atl hip hop;southern hip hop;pop rap;dirty south rap;gangster rap;hip hop;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
52;This Feeling (feat. Kelsea Ballerini);The Chainsmokers;1288087;2018-11-01;;2018;11;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
53;Love Someone;Lukas Graham;1252367;2018-11-01;;2018;11;1;3;scandipop;pop;danish pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
54;Rise;Jonas Blue;1176838;2018-11-01;;2018;11;1;6;tropical house;uk dance;pop dance;pop;dance pop;edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
55;No Es Justo;J Balvin;1174730;2018-11-01;;2018;11;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
56;Lucky You (feat. Joyner Lucas);Eminem;1169357;2018-11-01;;2018;11;1;3;detroit hip hop;rap;hip hop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
57;Money;Cardi B;1163523;2018-11-01;;2018;11;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
58;Bohemian Rhapsody - Remastered 2011;Queen;1161032;2018-11-01;;2018;11;1;3;glam rock;classic rock;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
59;Close To Me (with Diplo) (feat. Swae Lee);Ellie Goulding;1150574;2018-11-01;;2018;11;1;8;pop;uk pop;dance pop;indietronica;metropopolis;post-teen pop;electropop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
