Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;ROCKSTAR (feat. Roddy Ricch);DaBaby;5144036;2020-06-01;;2020;6;1;2;north carolina hip hop;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;Blinding Lights;The Weeknd;4823098;2020-06-01;;2020;6;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
3;Rain On Me (with Ariana Grande);Lady Gaga;4668185;2020-06-01;;2020;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Roses - Imanbek Remix;SAINt JHN;4184833;2020-06-01;;2020;6;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
5;Toosie Slide;Drake;3834563;2020-06-01;;2020;6;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6;death bed (coffee for your head);Powfu;3539691;2020-06-01;;2020;6;1;1;sad rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;Sour Candy (with BLACKPINK);Lady Gaga;3309411;2020-06-01;;2020;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Don't Start Now;Dua Lipa;2929360;2020-06-01;;2020;6;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;THE SCOTTS;THE SCOTTS;2813323;2020-06-01;;2020;6;1;1;pop rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;ily (i love you baby) (feat. Emilee);Surf Mesa;2786233;2020-06-01;;2020;6;1;1;tropical house;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Dance Monkey;Tones And I;2771712;2020-06-01;;2020;6;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;Break My Heart;Dua Lipa;2653055;2020-06-01;;2020;6;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Blueberry Faygo;Lil Mosey;2591962;2020-06-01;;2020;6;1;5;melodic rap;rap conscient;vapor trap;trap;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14;Stuck with U (with Justin Bieber);Ariana Grande;2578986;2020-06-01;;2020;6;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Supalonely;BENEE;2507177;2020-06-01;;2020;6;1;3;nz pop;pop;alt z;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;The Box;Roddy Ricch;2477638;2020-06-01;;2020;6;1;3;melodic rap;rap;trap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17;GOOBA;6ix9ine;2333806;2020-06-01;;2020;6;1;2;emo rap;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;TKN (feat. Travis Scott);ROSALÍA;2303281;2020-06-01;;2020;6;1;1;r&b en espanol;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19;Watermelon Sugar;Harry Styles;2185642;2020-06-01;;2020;6;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;Party Girl;StaySolidRocky;2164605;2020-06-01;;2020;6;1;1;melodic rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;Intentions (feat. Quavo);Justin Bieber;2162052;2020-06-01;;2020;6;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;Breaking Me;Topic;2041192;2020-06-01;;2020;6;1;6;german dance;pop dance;tropical house;edm;dance pop;pop edm;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23;Falling;Trevor Daniel;2036113;2020-06-01;;2020;6;1;3;melodic rap;pop rap;alternative r&b;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
24;Savage Remix (feat. Beyoncé);Beyoncé;2019579;2020-06-01;;2020;6;1;4;dance pop;pop;post-teen pop;r&b;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
25;Someone You Loved;Lewis Capaldi;2010434;2020-06-01;;2020;6;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
26;Sunday Best;Surfaces;2008379;2020-06-01;;2020;6;1;2;bedroom soul;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
