Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Shape of You;Ed Sheeran;7201132;2017-03-01;;2017;3;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Something Just Like This;The Chainsmokers;4581789;2017-03-01;;2017;3;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;It Ain't Me (with Selena Gomez);Kygo;4529714;2017-03-01;;2017;3;1;4;tropical house;pop dance;pop;edm;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;3898610;2017-03-01;;2017;3;1;4;pop;post-teen pop;uk pop;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Paris;The Chainsmokers;3675730;2017-03-01;;2017;3;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Despacito (Featuring Daddy Yankee);Luis Fonsi;3501514;2017-03-01;;2017;3;1;3;puerto rican pop;latin;latin pop;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
7;Scared to Be Lonely;Martin Garrix;3202617;2017-03-01;;2017;3;1;7;dutch edm;pop dance;edm;tropical house;pop;progressive house;dance pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Chained To The Rhythm;Katy Perry;3094974;2017-03-01;;2017;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;Issues;Julia Michaels;2746887;2017-03-01;;2017;3;1;5;pop;post-teen pop;alt z;dance pop;electropop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Castle on the Hill;Ed Sheeran;2571238;2017-03-01;;2017;3;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;2566642;2017-03-01;;2017;3;1;8;pop;uk dance;dance pop;uk funky;tropical house;pop dance;post-teen pop;edm;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;I Feel It Coming;The Weeknd;2410317;2017-03-01;;2017;3;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
13;Slide (feat. Frank Ocean & Migos);Calvin Harris;2372307;2017-03-01;;2017;3;1;8;uk dance;pop;dance pop;edm;house;progressive house;pop dance;electro house;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Stay (with Alessia Cara);Zedd;2343615;2017-03-01;electropop;2017;3;1;10;pop;dance pop;edm;pop dance;german techno;complextro;post-teen pop;tropical house;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;Say You Won't Let Go;James Arthur;2339289;2017-03-01;;2017;3;1;4;pop;uk pop;talent show;post-teen pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;That's What I Like;Bruno Mars;2315111;2017-03-01;;2017;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Believer;Imagine Dragons;2202628;2017-03-01;;2017;3;1;3;modern rock;pop;rock;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
18;Closer;The Chainsmokers;2199137;2017-03-01;;2017;3;1;6;pop;pop dance;tropical house;edm;electropop;dance pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;Call On Me - Ryan Riback Extended Remix;Starley;2189278;2017-03-01;;2017;3;1;3;aussietronica;tropical house;pop dance;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Cold;Maroon 5;2175106;2017-03-01;;2017;3;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
21;Starboy;The Weeknd;2132142;2017-03-01;;2017;3;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
22;Bad and Boujee (feat. Lil Uzi Vert);Migos;1977639;2017-03-01;;2017;3;1;4;rap;atl hip hop;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
23;Run Up (feat. PARTYNEXTDOOR & Nicki Minaj);Major Lazer;1957393;2017-03-01;;2017;3;1;7;moombahton;pop;edm;dance pop;pop dance;pop rap;electro house;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;"How Far I'll Go - From ""Moana""";Alessia Cara;1940662;2017-03-01;;2017;3;1;6;pop;post-teen pop;canadian pop;canadian contemporary r&b;dance pop;electropop;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
25;iSpy (feat. Lil Yachty);KYLE;1918710;2017-03-01;;2017;3;1;3;pop rap;rap;social media pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
26;Chantaje (feat. Maluma);Shakira;1778499;2017-03-01;;2017;3;1;5;colombian pop;dance pop;latin pop;pop;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
27;Just Hold On;Steve Aoki;1707544;2017-03-01;;2017;3;1;6;edm;pop dance;electro house;tropical house;dance pop;pop;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
28;Solo Dance;Martin Jensen;1691340;2017-03-01;;2017;3;1;9;tropical house;pop dance;danish electronic;edm;dance pop;pop edm;deep house;pop;electro house;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
29;Weak;AJR;1669292;2017-03-01;;2017;3;1;2;modern rock;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
30;Bad Things (with Camila Cabello);Machine Gun Kelly;1644166;2017-03-01;;2017;3;1;2;ohio hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
31;All Time Low;Jon Bellion;1602315;2017-03-01;;2017;3;1;1;pop rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
32;All Night;The Vamps;1584046;2017-03-01;;2017;3;1;4;pop;post-teen pop;boy band;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;Let Me Love You;DJ Snake;1562530;2017-03-01;;2017;3;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
34;Bounce Back;Big Sean;1559143;2017-03-01;;2017;3;1;6;rap;pop rap;detroit hip hop;trap;southern hip hop;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
35;Fake Love;Drake;1508538;2017-03-01;;2017;3;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
36;Don't Wanna Know;Maroon 5;1498829;2017-03-01;;2017;3;1;2;pop;pop rock;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
37;El Amante;Nicky Jam;1495435;2017-03-01;;2017;3;1;4;latin;reggaeton;latin hip hop;trap latino;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
38;Congratulations;Post Malone;1464084;2017-03-01;;2017;3;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
39;24K Magic;Bruno Mars;1429108;2017-03-01;;2017;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
40;Shed a Light;Robin Schulz;1364667;2017-03-01;;2017;3;1;8;german dance;tropical house;deep euro house;pop dance;deep house;edm;pop;dance pop;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
41;Don't Leave;Snakehips;1340563;2017-03-01;;2017;3;1;7;tropical house;edm;electropop;pop;pop dance;indie poptimism;dance pop;;;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
42;You Don't Know Me - Radio Edit;Jax Jones;1330722;2017-03-01;electro house;2017;3;1;10;pop dance;uk dance;tropical house;dance pop;pop;house;edm;pop rap;post-teen pop;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
43;Reggaetón Lento (Bailemos);CNCO;1323567;2017-03-01;;2017;3;1;4;boy band;latin pop;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
44;One Dance;Drake;1318007;2017-03-01;;2017;3;1;6;toronto rap;canadian pop;canadian hip hop;rap;pop rap;hip hop;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
45;Tunnel Vision;Kodak Black;1277087;2017-03-01;;2017;3;1;7;melodic rap;rap;miami hip hop;florida rap;trap;southern hip hop;hip hop;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
46;Mask Off;Future;1271052;2017-03-01;;2017;3;1;5;rap;atl hip hop;trap;pop rap;southern hip hop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
47;Hear Me Now;Alok;1199899;2017-03-01;;2017;3;1;3;pop nacional;slap house;electro house;;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
48;Cold Water (feat. Justin Bieber & MØ);Major Lazer;1192010;2017-03-01;;2017;3;1;7;moombahton;pop;edm;dance pop;pop dance;pop rap;electro house;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
49;In the Name of Love;Martin Garrix;1171300;2017-03-01;;2017;3;1;7;dutch edm;pop dance;edm;tropical house;pop;progressive house;dance pop;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
50;Now and Later;Sage The Gemini;1155599;2017-03-01;;2017;3;1;6;pop rap;hyphy;dance pop;southern hip hop;trap;rap;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
51;T-Shirt;Migos;1047456;2017-03-01;;2017;3;1;4;rap;atl hip hop;trap;pop rap;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
52;Side To Side;Ariana Grande;1046912;2017-03-01;;2017;3;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
53;Sunset Lover;Petit Biscuit;1006846;2017-03-01;;2017;3;1;2;new french touch;tropical house;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);Enrique Iglesias;998017;2017-03-01;;2017;3;1;5;mexican pop;latin pop;dance pop;latin;pop;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
55;I Got You;Bebe Rexha;992948;2017-03-01;;2017;3;1;4;pop;dance pop;post-teen pop;electropop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
56;Otra vez (feat. J Balvin);Zion & Lennox;973971;2017-03-01;;2017;3;1;5;latin hip hop;reggaeton;latin;trap latino;reggaeton flow;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
