Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;Señorita;Shawn Mendes;5988444;2019-09-01;;2019;9;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Circles;Post Malone;3794904;2019-09-01;;2019;9;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;China;Anuel AA;3647132;2019-09-01;;2019;9;1;5;trap boricua;trap latino;reggaeton;reggaeton flow;latin;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
4;Ransom;Lil Tecca;3452217;2019-09-01;;2019;9;1;3;melodic rap;trap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;Goodbyes (Feat. Young Thug);Post Malone;2978436;2019-09-01;;2019;9;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;Beautiful People (feat. Khalid);Ed Sheeran;2977836;2019-09-01;;2019;9;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Dance Monkey;Tones And I;2801062;2019-09-01;;2019;9;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;bad guy;Billie Eilish;2771674;2019-09-01;;2019;9;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;I Don't Care (with Justin Bieber);Ed Sheeran;2648025;2019-09-01;;2019;9;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Someone You Loved;Lewis Capaldi;2574797;2019-09-01;;2019;9;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Lover;Taylor Swift;2524771;2019-09-01;;2019;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;Lalala;Y2K;2514455;2019-09-01;;2019;9;1;1;pop rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;How Do You Sleep?;Sam Smith;2495853;2019-09-01;;2019;9;1;4;pop;uk pop;post-teen pop;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14;Old Town Road - Remix;Lil Nas X;2445272;2019-09-01;;2019;9;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
15;Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;2419743;2019-09-01;;2019;9;1;6;pop;electronic trap;dance pop;edm;pop dance;pop rap;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
16;Callaita;Bad Bunny;2377377;2019-09-01;;2019;9;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
17;boyfriend (with Social House);Ariana Grande;2174625;2019-09-01;;2019;9;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;LA CANCIÓN;J Balvin;2062194;2019-09-01;;2019;9;1;4;reggaeton colombiano;reggaeton;trap latino;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
19;Truth Hurts;Lizzo;2055244;2019-09-01;;2019;9;1;7;minnesota hip hop;pop;trap queen;pop rap;escape room;dance pop;post-teen pop;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
20;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;1936094;2019-09-01;;2019;9;1;3;dfw rap;melodic rap;rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;No Me Conoce - Remix;Jhay Cortez;1921696;2019-09-01;;2019;9;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
22;Yo x Ti, Tu x Mi;ROSALÍA;1870370;2019-09-01;;2019;9;1;1;r&b en espanol;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
23;Otro Trago - Remix;Sech;1852317;2019-09-01;;2019;9;1;4;panamanian pop;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
24;No Guidance (feat. Drake);Chris Brown;1800519;2019-09-01;;2019;9;1;5;pop rap;dance pop;pop;r&b;rap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
25;You Need To Calm Down;Taylor Swift;1700442;2019-09-01;;2019;9;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
